Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag",Location 1,Location 2
MISSISSIPPI,2016,29,,-,0,,0,,,-,,-,,-,0,,2,,1,,6,,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2016,29,,-,0,,1,,4,,,-,,-,7,,30,,207,,365,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2016,29,,-,0,,3,,9,,5,,9,,16,,26,,414,,536,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2016,29,,-,0,,2,,7,,29,,1,,4,,35,,91,,180,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2016,29,,-,0,,5,,7,,2,,,-,1,,3,,20,,18,,2,,0,,2,,13,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2016,29,,-,16,,47,,514,,8,,,-,3,,11,,61,,83,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UNITED STATES,2016,30,11,,50,,127,,1702,,346,,131,,303,,1924,,8039,,11805,,38,,56,,128,,1433,,2252,,,
NEW ENGLAND,2016,30,,-,1,,39,,245,,9,,3,,12,,28,,385,,416,,2,,5,,13,,154,,134,,,
MID. ATLANTIC,2016,30,9,,2,,12,,62,,74,,41,,52,,92,,1533,,1216,,13,,10,,33,,302,,378,,,
NEW YORK CITY,2016,30,,-,1,,10,,17,,34,,,-,8,,22,,134,,156,,,-,0,,1,,,-,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,30,,-,17,,54,,573,,125,,22,,60,,96,,1776,,1582,,4,,1,,19,,57,,65,,,
W.N. CENTRAL,2016,30,1,,19,,48,,603,,26,,3,,23,,64,,402,,1254,,2,,2,,10,,67,,135,,,
S. ATLANTIC,2016,30,,-,1,,8,,49,,48,,5,,27,,77,,672,,972,,7,,13,,36,,303,,649,,,
DIST. OF COL.,2016,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,30,,-,0,,14,,69,,8,,5,,14,,34,,543,,299,,1,,2,,6,,58,,63,,,
W.S. CENTRAL,2016,30,,-,1,,3,,28,,17,,16,,27,,163,,762,,888,,7,,15,,55,,377,,682,,,
MOUNTAIN,2016,30,1,,0,,6,,38,,14,,18,,35,,74,,893,,1852,,2,,0,,6,,7,,28,,,
PACIFIC,2016,30,,-,1,,7,,35,,25,,18,,40,,1410,,1073,,3326,,,-,4,,17,,108,,118,,,
AMER. SAMOA,2016,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
UTAH,2016,30,,-,0,,0,,,-,,-,,-,4,,15,,96,,366,,,-,0,,4,,,-,7,,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2016,30,,-,0,,10,,44,,,-,3,,3,,13,,102,,408,,1,,0,,2,,9,,20,,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2016,30,,-,0,,7,,,-,13,,,-,0,,13,,2,,171,,,-,0,,4,,4,,17,,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2016,30,,-,0,,2,,10,,6,,4,,7,,15,,203,,195,,,-,0,,18,,43,,83,,"FLORIDA
(28.915325, -81.922409)",
IOWA,2016,30,1,,16,,47,,520,,9,,,-,3,,11,,67,,88,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OREGON,2016,30,,-,0,,1,,4,,3,,,-,5,,15,,117,,434,,,-,0,,4,,5,,4,,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2016,30,,-,0,,0,,,-,,-,,-,0,,2,,1,,8,,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2016,30,,-,0,,2,,2,,6,,29,,21,,37,,759,,529,,,-,0,,15,,,-,185,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2016,30,,-,0,,2,,7,,2,,2,,6,,19,,153,,287,,2,,0,,4,,12,,17,,"MICHIGAN
(44.66399, -84.711206)",
ALABAMA,2016,30,,-,0,,1,,1,,1,,1,,3,,7,,111,,99,,1,,1,,4,,45,,56,,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2016,30,,-,0,,1,,,-,1,,,-,0,,9,,38,,12,,,-,0,,2,,10,,7,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2016,30,9,,0,,5,,29,,16,,12,,14,,50,,404,,300,,13,,8,,33,,302,,188,,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2016,30,,-,0,,0,,,-,1,,,-,2,,8,,65,,7,,1,,1,,3,,30,,11,,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2016,30,,-,0,,1,,1,,3,,,-,0,,3,,8,,9,,,-,0,,2,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2016,30,,-,0,,1,,4,,,-,1,,7,,30,,210,,380,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2016,30,,-,0,,1,,4,,,-,,-,2,,17,,63,,90,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2016,30,,-,0,,8,,26,,3,,,-,7,,31,,159,,232,,5,,6,,12,,152,,198,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2016,30,,-,0,,7,,3,,,-,15,,1,,1382,,265,,,-,,-,0,,10,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2016,30,,-,11,,33,,281,,99,,,-,16,,31,,451,,345,,2,,1,,18,,32,,26,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2016,30,,-,0,,0,,,-,2,,1,,0,,3,,10,,5,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2016,30,,-,0,,5,,7,,2,,,-,1,,3,,23,,19,,,-,0,,2,,13,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2016,30,,-,0,,20,,55,,16,,20,,18,,41,,573,,445,,,-,0,,5,,13,,22,,"OHIO
(40.056807, -82.405897)",
INDIANA,2016,30,,-,1,,23,,212,,2,,,-,3,,9,,85,,124,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2016,30,,-,0,,14,,65,,4,,1,,8,,27,,353,,63,,,-,0,,5,,12,,7,,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2016,30,,-,0,,3,,27,,12,,16,,24,,119,,638,,799,,7,,13,,51,,344,,565,,"TEXAS
(31.827233, -99.423022)",
MAINE,2016,30,,-,0,,1,,4,,,-,3,,3,,12,,132,,197,,1,,1,,6,,39,,14,,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2016,30,,-,0,,3,,12,,,-,,-,1,,4,,11,,15,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,30,,-,0,,1,,,-,3,,,-,1,,7,,23,,29,,,-,0,,4,,13,,49,,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2016,30,,-,0,,17,,18,,6,,,-,17,,34,,514,,381,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2016,30,,-,0,,1,,1,,,-,,-,3,,15,,75,,138,,,-,0,,9,,,-,154,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2016,30,,-,0,,0,,,-,,-,,-,0,,2,,6,,4,,1,,0,,2,,13,,22,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2016,30,,-,0,,3,,14,,18,,,-,10,,23,,236,,231,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2016,30,,-,0,,1,,3,,3,,3,,3,,5,,78,,129,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2016,30,1,,0,,3,,10,,5,,13,,15,,26,,427,,554,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2016,30,,-,0,,27,,200,,4,,,-,4,,13,,73,,133,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2016,30,,-,0,,1,,2,,,-,,-,1,,5,,44,,27,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2016,30,,-,0,,1,,1,,1,,,-,0,,54,,68,,24,,,-,0,,23,,20,,68,,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2016,30,,-,0,,0,,,-,,-,,-,0,,4,,14,,11,,,-,0,,2,,,-,5,,"WYOMING
(43.23558, -108.110518)",
IDAHO,2016,30,,-,0,,1,,1,,8,,3,,1,,7,,59,,163,,2,,0,,1,,4,,4,,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2016,30,,-,0,,2,,7,,29,,,-,4,,35,,96,,196,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2016,30,,-,0,,0,,,-,1,,,-,0,,7,,14,,37,,2,,0,,4,,20,,23,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2016,30,,-,0,,12,,34,,1,,,-,1,,6,,54,,48,,,-,3,,12,,62,,88,,"CONNECTICUT
(41.544654, -72.651713)",
KANSAS,2016,30,,-,0,,2,,6,,,-,,-,3,,11,,49,,311,,,-,1,,8,,41,,76,,"KANSAS
(38.345528, -98.201847)",
LOUISIANA,2016,30,,-,0,,1,,,-,1,,,-,1,,4,,33,,36,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW MEXICO,2016,30,,-,0,,1,,2,,1,,,-,3,,13,,76,,108,,,-,0,,1,,2,,7,,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2016,30,,-,0,,2,,2,,,-,3,,1,,7,,67,,73,,,-,0,,3,,9,,3,,"ALASKA
(64.836661, -147.738891)",
NEVADA,2016,30,,-,0,,1,,1,,,-,,-,0,,7,,1,,84,,,-,0,,1,,1,,5,,"NEVADA
(39.491833, -117.070159)",
GUAM,2016,30,,-,0,,0,,,-,5,,,-,0,,7,,,-,44,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MONTANA,2016,30,,-,0,,6,,20,,,-,1,,0,,17,,10,,186,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2016,30,,-,0,,5,,1,,7,,,-,2,,7,,52,,79,,,-,4,,20,,88,,191,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2016,30,,-,1,,3,,24,,22,,,-,25,,67,,580,,2792,,,-,3,,14,,94,,111,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2016,30,,-,0,,4,,21,,4,,,-,9,,27,,165,,257,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
UNITED STATES,2016,31,11,,50,,130,,1750,,385,,97,,305,,1924,,8464,,12186,,28,,55,,128,,1471,,2350,,,
NEW ENGLAND,2016,31,,-,1,,39,,249,,9,,3,,12,,30,,425,,428,,1,,5,,13,,161,,138,,,
MID. ATLANTIC,2016,31,9,,2,,12,,80,,77,,26,,53,,92,,1625,,1285,,8,,10,,33,,310,,395,,,
NEW YORK CITY,2016,31,,-,1,,10,,25,,37,,,-,8,,22,,168,,178,,,-,0,,1,,,-,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,31,1,,17,,54,,585,,142,,22,,60,,96,,1838,,1637,,2,,1,,19,,59,,71,,,
W.N. CENTRAL,2016,31,1,,19,,48,,607,,42,,,-,24,,64,,497,,1284,,1,,2,,8,,68,,140,,,
S. ATLANTIC,2016,31,,-,1,,8,,50,,49,,4,,26,,77,,691,,1002,,6,,13,,36,,309,,678,,,
DIST. OF COL.,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,31,,-,0,,14,,77,,8,,7,,14,,34,,557,,309,,4,,2,,6,,62,,67,,,
W.S. CENTRAL,2016,31,,-,1,,3,,28,,17,,10,,27,,163,,788,,909,,6,,15,,55,,383,,702,,,
MOUNTAIN,2016,31,,-,0,,6,,39,,14,,8,,35,,74,,908,,1926,,,-,0,,6,,11,,30,,,
PACIFIC,2016,31,,-,1,,7,,35,,27,,17,,39,,1410,,1135,,3406,,,-,4,,17,,108,,129,,,
AMER. SAMOA,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,31,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OKLAHOMA,2016,31,,-,0,,1,,1,,1,,,-,0,,54,,68,,24,,,-,0,,3,,20,,68,,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2016,31,,-,0,,1,,1,,,-,,-,4,,15,,97,,372,,,-,0,,4,,,-,8,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2016,31,,-,0,,3,,14,,18,,,-,10,,23,,250,,243,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2016,31,,-,0,,1,,,-,1,,,-,1,,5,,35,,37,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2016,31,,-,0,,5,,7,,2,,,-,1,,3,,25,,21,,,-,0,,2,,13,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSISSIPPI,2016,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2016,31,,-,0,,6,,20,,,-,,-,0,,17,,10,,203,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2016,31,,-,0,,2,,7,,2,,5,,6,,19,,163,,299,,,-,0,,4,,12,,17,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2016,31,9,,0,,9,,38,,16,,13,,14,,50,,418,,315,,8,,8,,33,,310,,199,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2016,31,,-,0,,1,,4,,3,,,-,5,,15,,132,,442,,,-,0,,4,,5,,8,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2016,31,,-,0,,17,,20,,6,,,-,18,,34,,530,,388,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
TEXAS,2016,31,,-,0,,3,,27,,12,,10,,25,,119,,660,,818,,6,,13,,51,,350,,585,,"TEXAS
(31.827233, -99.423022)",
INDIANA,2016,31,,-,1,,23,,220,,2,,1,,3,,9,,90,,133,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2016,31,,-,0,,8,,26,,3,,,-,7,,31,,162,,242,,5,,6,,12,,157,,204,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2016,31,,-,0,,4,,21,,4,,,-,12,,27,,244,,271,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VERMONT,2016,31,,-,0,,0,,,-,1,,,-,2,,8,,67,,8,,,-,1,,3,,30,,11,,"VERMONT
(43.622479, -72.51927)",
ALASKA,2016,31,,-,0,,2,,2,,,-,,-,1,,7,,74,,80,,,-,0,,3,,9,,3,,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2016,31,,-,0,,1,,,-,1,,,-,0,,16,,59,,12,,1,,0,,2,,12,,8,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,31,,-,1,,28,,204,,4,,,-,4,,10,,76,,138,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2016,31,,-,0,,2,,3,,6,,13,,21,,37,,789,,549,,,-,0,,15,,,-,191,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2016,31,,-,0,,12,,34,,1,,,-,1,,6,,59,,50,,,-,3,,12,,66,,89,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2016,31,,-,0,,1,,1,,,-,,-,0,,7,,1,,86,,,-,0,,1,,2,,5,,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2016,31,,-,1,,3,,24,,24,,1,,25,,65,,604,,2857,,,-,3,,14,,94,,118,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2016,31,,-,11,,33,,282,,116,,,-,16,,31,,469,,359,,2,,1,,18,,34,,31,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2016,31,,-,0,,5,,2,,7,,3,,2,,7,,56,,79,,,-,4,,20,,88,,207,,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2016,31,,-,0,,1,,1,,8,,7,,1,,8,,68,,168,,,-,0,,3,,7,,4,,"IDAHO
(43.680635, -114.364237)",
ARKANSAS,2016,31,,-,0,,1,,,-,3,,,-,1,,7,,25,,30,,,-,0,,4,,13,,49,,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2016,31,,-,0,,7,,,-,20,,,-,0,,13,,2,,174,,,-,0,,4,,4,,17,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2016,31,,-,0,,3,,12,,,-,,-,1,,4,,21,,17,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2016,31,,-,0,,1,,4,,,-,3,,4,,12,,139,,199,,,-,1,,6,,40,,16,,"MAINE
(45.252223, -68.986647)",
ALABAMA,2016,31,,-,0,,1,,1,,1,,,-,3,,7,,113,,101,,4,,1,,4,,49,,59,,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2016,31,,-,0,,1,,2,,1,,,-,4,,13,,79,,109,,,-,0,,1,,2,,7,,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2016,31,,-,0,,2,,10,,7,,,-,7,,15,,203,,202,,,-,0,,18,,43,,83,,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2016,31,,-,0,,3,,10,,5,,,-,15,,26,,427,,567,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2016,31,,-,0,,1,,4,,,-,1,,7,,30,,212,,410,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
OHIO,2016,31,1,,0,,20,,56,,16,,16,,18,,40,,586,,458,,,-,0,,5,,13,,23,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2016,31,,-,0,,1,,1,,3,,,-,0,,3,,8,,9,,,-,0,,1,,,-,10,,"PUERTO RICO
(18.215692, -66.414655)",
KANSAS,2016,31,,-,0,,2,,6,,,-,,-,3,,11,,51,,317,,1,,1,,8,,42,,78,,"KANSAS
(38.345528, -98.201847)",
IOWA,2016,31,,-,16,,47,,523,,17,,,-,3,,11,,69,,90,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
GEORGIA,2016,31,,-,0,,1,,1,,,-,,-,3,,15,,75,,146,,,-,0,,9,,,-,161,,"GEORGIA
(32.836038, -83.631709)",
HAWAII,2016,31,,-,0,,1,,2,,,-,,-,1,,5,,44,,27,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2016,31,,-,0,,0,,,-,1,,,-,0,,7,,14,,37,,1,,0,,4,,21,,23,,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2016,31,,-,0,,0,,,-,,-,,-,0,,4,,14,,11,,,-,0,,2,,,-,6,,"WYOMING
(43.23558, -108.110518)",
GUAM,2016,31,,-,0,,0,,,-,5,,,-,0,,7,,,-,44,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2016,31,1,,0,,10,,45,,1,,,-,3,,13,,104,,411,,,-,0,,2,,9,,22,,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2016,31,,-,0,,7,,3,,,-,16,,3,,1382,,281,,,-,,-,0,,10,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2016,31,,-,0,,1,,3,,3,,4,,3,,7,,85,,133,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2016,31,,-,0,,0,,,-,2,,,-,0,,3,,10,,5,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2016,31,,-,0,,1,,4,,,-,,-,2,,17,,71,,93,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,31,,-,0,,14,,73,,4,,3,,8,,27,,358,,66,,,-,0,,5,,12,,8,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2016,31,,-,0,,0,,,-,,-,,-,0,,2,,6,,4,,,-,0,,2,,13,,23,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2016,31,,-,0,,2,,7,,29,,1,,4,,35,,100,,198,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2016,32,13,,50,,130,,1786,,402,,93,,306,,1924,,8765,,12536,,41,,55,,128,,1523,,2444,,,
NEW ENGLAND,2016,32,,-,1,,39,,249,,9,,1,,12,,30,,441,,445,,7,,5,,13,,169,,146,,,
MID. ATLANTIC,2016,32,5,,2,,12,,89,,84,,25,,53,,92,,1674,,1356,,16,,10,,33,,326,,411,,,
NEW YORK CITY,2016,32,,-,1,,10,,28,,42,,,-,8,,22,,174,,199,,,-,0,,1,,,-,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,32,8,,17,,54,,598,,150,,10,,61,,96,,1908,,1670,,1,,1,,19,,61,,82,,,
W.N. CENTRAL,2016,32,,-,19,,48,,620,,42,,3,,24,,64,,515,,1313,,2,,2,,8,,71,,144,,,
S. ATLANTIC,2016,32,,-,1,,8,,51,,49,,11,,25,,77,,739,,1036,,5,,13,,36,,320,,707,,,
DIST. OF COL.,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,32,,-,0,,14,,77,,8,,3,,14,,34,,565,,323,,2,,2,,6,,64,,70,,,
W.S. CENTRAL,2016,32,,-,1,,3,,28,,18,,21,,27,,163,,817,,946,,7,,14,,55,,392,,719,,,
MOUNTAIN,2016,32,,-,0,,6,,39,,14,,12,,35,,72,,926,,1968,,1,,0,,6,,12,,32,,,
PACIFIC,2016,32,,-,1,,7,,35,,28,,7,,40,,1410,,1180,,3479,,,-,4,,17,,108,,133,,,
AMER. SAMOA,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW JERSEY,2016,32,,-,0,,3,,15,,19,,,-,10,,23,,264,,255,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2016,32,,-,0,,1,,1,,1,,,-,0,,54,,68,,27,,,-,0,,3,,20,,70,,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2016,32,,-,0,,0,,,-,1,,,-,2,,8,,78,,8,,2,,1,,3,,32,,11,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2016,32,,-,0,,5,,7,,2,,,-,1,,3,,26,,21,,,-,0,,2,,13,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2016,32,,-,0,,1,,,-,1,,,-,1,,5,,35,,40,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CONNECTICUT,2016,32,,-,0,,12,,34,,1,,,-,1,,6,,62,,53,,,-,3,,12,,67,,96,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2016,32,,-,0,,2,,7,,29,,,-,4,,35,,100,,209,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2016,32,,-,0,,1,,1,,8,,,-,1,,8,,68,,169,,1,,0,,3,,8,,4,,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2016,32,,-,0,,3,,24,,25,,,-,25,,63,,640,,2914,,,-,2,,14,,94,,121,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2016,32,,-,0,,3,,12,,,-,,-,1,,4,,21,,19,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OHIO,2016,32,8,,0,,20,,64,,16,,9,,18,,40,,595,,465,,,-,0,,5,,13,,26,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2016,32,,-,0,,1,,4,,,-,,-,2,,17,,81,,94,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,32,,-,0,,14,,73,,4,,1,,8,,27,,362,,74,,,-,0,,5,,12,,8,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,1,,9,,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2016,32,,-,0,,2,,10,,7,,10,,7,,15,,219,,213,,,-,0,,18,,49,,83,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2016,32,,-,0,,1,,3,,3,,2,,3,,7,,87,,136,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2016,32,,-,0,,2,,3,,7,,10,,21,,39,,805,,578,,,-,0,,15,,,-,197,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2016,32,,-,1,,23,,224,,2,,,-,3,,9,,95,,140,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2016,32,,-,0,,5,,2,,7,,,-,2,,7,,58,,79,,,-,4,,20,,88,,219,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2016,32,,-,0,,1,,2,,,-,,-,1,,5,,44,,31,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
