Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
WYOMING,2017,7,,-,36,,55,,158,,308,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2017,7,50,,1135,,1311,,3770,,9687,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2017,7,105,,103,,218,,1093,,845,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PUERTO RICO,2017,7,,-,124,,481,,997,,690,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,7,110,,100,,199,,744,,676,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2017,7,1451,,620,,1983,,5271,,3234,,,-,0,,1,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,7,,-,81,,108,,,-,637,,,-,0,,2,,2,,2,,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,7,,-,98,,152,,,-,693,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2017,7,123,,268,,508,,636,,1909,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,7,204,,586,,764,,3857,,4457,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2017,7,341,,643,,1070,,3276,,4093,,103,,117,,157,,824,,882,,"ARIZONA
(34.869712, -111.760902)",
NEW YORK,2017,7,822,,811,,1879,,5044,,4898,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2017,7,,-,551,,1319,,,-,5272,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2017,7,,-,20,,95,,88,,294,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,7,143,,182,,218,,1321,,1392,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
DIST. OF COL.,2017,7,,-,152,,294,,673,,935,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2017,7,,-,8,,28,,,-,101,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GEORGIA,2017,7,,-,906,,1159,,,-,6017,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
CALIFORNIA,2017,7,1257,,3800,,4282,,21345,,26972,,14,,75,,182,,231,,515,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,7,1214,,1805,,2799,,11113,,11617,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
TEXAS,2017,7,2781,,2776,,4026,,20356,,19960,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2017,7,,-,1029,,1184,,1010,,8098,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,7,51,,379,,687,,1869,,553,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,7,,-,208,,290,,1030,,1342,,,-,1,,5,,,-,15,,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2017,7,,-,148,,274,,651,,1033,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2017,7,,-,245,,302,,1285,,1806,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2017,7,55,,91,,182,,575,,597,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2017,7,232,,650,,727,,4084,,5500,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,7,,-,234,,374,,289,,1628,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2017,7,47,,281,,340,,1448,,2329,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,7,,-,513,,597,,2982,,3743,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
MINNESOTA,2017,7,,-,434,,526,,,-,3175,,,-,1,,4,,,-,4,,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2017,7,221,,616,,818,,3239,,4497,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2017,7,491,,1162,,1274,,6334,,8786,,,-,0,,4,,3,,2,,"OHIO
(40.056807, -82.405897)",
WISCONSIN,2017,7,331,,498,,623,,3508,,3725,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2017,7,3,,79,,107,,458,,640,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2017,7,32,,235,,399,,1107,,1885,,,-,0,,3,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2017,7,,-,513,,735,,2154,,3462,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2017,7,493,,589,,1259,,2473,,2361,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,7,229,,844,,1127,,3717,,6237,,,-,0,,3,,,-,5,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2017,7,,-,105,,212,,458,,997,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,7,222,,590,,714,,3236,,4150,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,7,538,,488,,1192,,3679,,2972,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,7,91,,81,,157,,692,,513,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
OREGON,2017,7,368,,331,,440,,2351,,1975,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2017,7,396,,575,,789,,3949,,4132,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,7,137,,316,,666,,956,,2504,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,7,2,,132,,174,,611,,861,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,7,79,,239,,283,,1546,,1696,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2017,7,896,,1122,,1264,,7743,,8074,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2017,7,4,,59,,93,,250,,530,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,7,481,,573,,1078,,3388,,4295,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2017,7,,-,76,,449,,143,,448,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2017,8,13450,,29491,,32212,,178763,,239825,,110,,207,,335,,1228,,1635,,,
NEW ENGLAND,2017,8,294,,1059,,1198,,5723,,8555,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,8,2244,,3916,,4272,,29433,,31694,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,8,561,,1306,,1557,,10262,,10414,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,8,1174,,4302,,5008,,24546,,37449,,2,,1,,7,,8,,9,,,
W.N. CENTRAL,2017,8,455,,1821,,2062,,9183,,14850,,,-,2,,8,,1,,6,,,
S. ATLANTIC,2017,8,2139,,5625,,7095,,24677,,46415,,,-,0,,2,,,-,2,,,
E.S. CENTRAL,2017,8,416,,1806,,2419,,8954,,12821,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,8,3223,,3967,,5433,,31297,,31569,,,-,0,,1,,,-,4,,,
MOUNTAIN,2017,8,1062,,1997,,2636,,12755,,15849,,97,,121,,161,,953,,1034,,,
PACIFIC,2017,8,2443,,4989,,5506,,32195,,40623,,11,,78,,193,,266,,580,,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
VERMONT,2017,8,,-,21,,95,,114,,333,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2017,8,260,,591,,1261,,2811,,3186,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
KENTUCKY,2017,8,80,,389,,687,,2210,,652,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,8,706,,1122,,1264,,8682,,9271,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,8,377,,499,,627,,4088,,4178,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,8,,-,513,,597,,2982,,4286,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
KANSAS,2017,8,69,,239,,283,,1756,,1944,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,8,30,,282,,340,,1680,,2669,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,8,35,,35,,55,,241,,359,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2017,8,2,,133,,174,,673,,1000,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,8,66,,182,,218,,1451,,1596,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2017,8,,-,126,,481,,1214,,846,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2017,8,,-,8,,28,,,-,113,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2017,8,,-,508,,735,,2154,,4024,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,8,1611,,3809,,4294,,24948,,31611,,11,,77,,193,,262,,579,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2017,8,,-,435,,527,,,-,3588,,,-,1,,4,,,-,5,,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK,2017,8,726,,815,,1936,,5767,,5782,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2017,8,,-,81,,108,,,-,743,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2017,8,467,,573,,1078,,3855,,4851,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VIRGINIA,2017,8,,-,551,,1319,,,-,6107,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2017,8,80,,648,,1983,,5295,,3799,,,-,0,,1,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2017,8,,-,79,,107,,458,,718,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,8,67,,81,,157,,760,,584,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
OHIO,2017,8,189,,1161,,1274,,6957,,10042,,2,,0,,4,,5,,2,,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2017,8,259,,844,,1127,,4403,,7068,,,-,0,,3,,3,,6,,"MICHIGAN
(44.66399, -84.711206)",
MISSISSIPPI,2017,8,158,,312,,674,,1173,,2973,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,8,391,,492,,1192,,4099,,3457,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2017,8,1111,,1811,,2790,,12953,,13416,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2017,8,1,,1019,,1184,,2052,,9283,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2017,8,363,,331,,440,,2719,,2362,,,-,0,,3,,4,,1,,"OREGON
(44.567912, -120.156945)",
ARIZONA,2017,8,363,,648,,1075,,3753,,4780,,97,,118,,157,,940,,1008,,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,8,,-,153,,294,,673,,1183,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2017,8,178,,616,,818,,3417,,5172,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
GEORGIA,2017,8,,-,892,,1159,,,-,7033,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,8,153,,104,,218,,1245,,950,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,8,251,,648,,727,,4722,,6227,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2017,8,72,,74,,484,,275,,514,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,8,131,,100,,199,,875,,768,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2017,8,173,,210,,291,,1477,,1597,,,-,1,,5,,11,,17,,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2017,8,78,,91,,182,,691,,741,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2017,8,130,,249,,302,,1884,,2089,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2017,8,57,,1172,,1316,,4553,,11054,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2017,8,,-,109,,152,,,-,799,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,8,9,,59,,93,,309,,595,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2017,8,2,,237,,374,,347,,1888,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,8,34,,236,,399,,1276,,2102,,,-,0,,3,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2017,8,172,,590,,707,,3752,,4744,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2017,8,3009,,2784,,4025,,23493,,22760,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2017,8,75,,150,,274,,1024,,1172,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2017,8,558,,565,,789,,4622,,4698,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2017,8,104,,268,,508,,829,,2341,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2017,8,,-,104,,213,,458,,1215,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
INDIANA,2017,8,292,,592,,764,,4545,,5107,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2017,9,15113,,29542,,32303,,204802,,270144,,109,,209,,341,,1411,,1846,,,
NEW ENGLAND,2017,9,204,,1059,,1198,,6219,,9630,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,9,2749,,3916,,4277,,33515,,35669,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,9,823,,1300,,1561,,11720,,11813,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,9,468,,4351,,5045,,26833,,42116,,,-,1,,7,,9,,10,,,
W.N. CENTRAL,2017,9,390,,1818,,2062,,11969,,16786,,,-,2,,8,,1,,8,,,
S. ATLANTIC,2017,9,2144,,5626,,7107,,28686,,52486,,,-,0,,2,,,-,2,,,
MINNESOTA,2017,9,7,,435,,527,,1614,,4048,,,-,1,,4,,,-,5,,"MINNESOTA
(46.357661, -94.793397)",
INDIANA,2017,9,236,,585,,764,,5111,,5679,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
E.S. CENTRAL,2017,9,571,,1805,,2419,,9968,,14420,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,9,4787,,3949,,5433,,36561,,35628,,,-,0,,1,,,-,4,,,
MOUNTAIN,2017,9,1091,,1999,,2636,,14617,,17837,,92,,121,,161,,1062,,1167,,,
PACIFIC,2017,9,2709,,4991,,5612,,36434,,45572,,17,,80,,199,,339,,655,,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MISSISSIPPI,2017,9,261,,310,,674,,1475,,3351,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2017,9,188,,616,,818,,3605,,5788,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2017,9,31,,90,,182,,724,,923,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2017,9,28,,1159,,1274,,7134,,11205,,,-,0,,4,,5,,2,,"OHIO
(40.056807, -82.405897)",
NEVADA,2017,9,157,,210,,291,,1781,,1804,,,-,1,,5,,11,,17,,"NEVADA
(39.491833, -117.070159)",
MARYLAND,2017,9,423,,584,,1277,,3344,,3810,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2017,9,363,,331,,440,,3084,,2741,,,-,0,,2,,3,,1,,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2017,9,153,,104,,218,,1396,,1070,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,9,,-,500,,735,,2154,,4561,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2017,9,151,,844,,1127,,5081,,7885,,,-,0,,3,,4,,7,,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,9,867,,1122,,1264,,9877,,10415,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,9,4,,242,,374,,604,,2171,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2017,9,53,,1211,,1372,,5419,,12607,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
GEORGIA,2017,9,,-,881,,1159,,,-,8016,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
UTAH,2017,9,95,,182,,219,,1675,,1777,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,9,240,,645,,725,,5333,,6906,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2017,9,189,,262,,508,,1180,,2702,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2017,9,,-,109,,152,,,-,951,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,9,,-,499,,627,,4088,,4740,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2017,9,1,,1068,,1225,,2919,,10378,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW YORK,2017,9,819,,806,,1969,,6585,,6535,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,9,1784,,648,,1983,,7057,,4264,,,-,0,,1,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW MEXICO,2017,9,44,,239,,399,,1596,,2408,,,-,0,,3,,,-,6,,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2017,9,7,,23,,96,,162,,370,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
TEXAS,2017,9,2749,,2794,,4028,,26372,,25665,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,9,453,,646,,1075,,4346,,5339,,92,,118,,157,,1049,,1138,,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2017,9,342,,492,,1192,,4520,,3986,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,9,,-,81,,157,,760,,675,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,9,556,,579,,789,,5283,,5316,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2017,9,7,,59,,93,,383,,675,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,9,,-,81,,108,,,-,842,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,9,,-,132,,174,,673,,1137,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
VIRGIN ISL.,2017,9,,-,8,,28,,46,,130,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
VIRGINIA,2017,9,,-,495,,1319,,,-,6523,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,9,40,,74,,486,,315,,549,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2017,9,207,,588,,749,,4348,,5322,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2017,9,,-,511,,597,,2982,,4795,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,9,65,,282,,339,,1952,,2997,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2017,9,1846,,3807,,4313,,28322,,35374,,17,,79,,199,,336,,654,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,9,76,,150,,274,,1131,,1404,,,-,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,9,122,,393,,687,,2734,,720,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2017,9,32,,239,,286,,1964,,2189,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
DIST. OF COL.,2017,9,,-,152,,294,,673,,1322,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH DAKOTA,2017,9,,-,79,,107,,458,,800,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2017,9,,-,103,,164,,458,,1271,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2017,9,,-,125,,481,,1309,,885,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2017,9,1023,,1826,,2786,,14758,,15280,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2017,9,,-,35,,55,,241,,410,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2017,9,110,,101,,199,,985,,918,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2017,9,500,,589,,818,,4355,,5369,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2017,9,61,,248,,302,,2071,,2348,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
UNITED STATES,2017,10,14420,,28272,,31014,,225646,,288360,,125,,208,,343,,1578,,2043,,,
NEW ENGLAND,2017,10,238,,1063,,1277,,8223,,10752,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,10,2174,,3891,,4301,,36923,,39719,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,10,842,,1307,,1565,,13237,,13143,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,10,1027,,4362,,5062,,31350,,46855,,,-,1,,7,,9,,12,,,
W.N. CENTRAL,2017,10,257,,1813,,2062,,13114,,18610,,,-,2,,8,,1,,10,,,
S. ATLANTIC,2017,10,2173,,5603,,7099,,32579,,58091,,,-,0,,2,,,-,3,,,
E.S. CENTRAL,2017,10,609,,1854,,2428,,13076,,16044,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,10,3837,,3949,,5433,,40862,,39585,,,-,0,,1,,,-,4,,,
MOUNTAIN,2017,10,1504,,2002,,2636,,16674,,19867,,120,,121,,161,,1197,,1292,,,
PACIFIC,2017,10,2601,,3769,,4272,,32845,,38837,,5,,80,,201,,371,,721,,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,10,,-,80,,108,,,-,936,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,10,,-,1074,,1231,,3770,,11447,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2017,10,41,,90,,128,,837,,1009,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,10,2847,,2797,,4029,,29310,,28358,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2017,10,1710,,2613,,2973,,23631,,27369,,5,,79,,201,,368,,719,,"CALIFORNIA
(37.640735, -121.002435)",
