 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
GEORGIA,2017,12,,-,13,,28,,,-,174,,,-,324,,421,,,-,3721,,,-,3,,10,,47,,64,,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2017,12,,N,0,,0,,,N,,N,78,,139,,217,,1240,,1431,,,-,1,,6,,14,,12,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,12,,-,2,,6,,29,,41,,193,,200,,314,,2150,,1962,,4,,2,,5,,49,,49,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2017,12,,-,2,,12,,2,,108,,58,,152,,197,,1686,,1990,,,-,2,,8,,19,,36,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,12,1,,3,,7,,28,,27,,170,,185,,300,,2400,,2206,,1,,3,,10,,51,,18,,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,12,,N,0,,0,,,N,,N,840,,834,,1218,,10519,,9639,,1,,6,,29,,55,,54,,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2017,12,,-,10,,24,,53,,89,,33,,227,,299,,1695,,2537,,,-,3,,6,,28,,49,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,12,,-,4,,11,,34,,55,,2,,52,,130,,373,,435,,,-,1,,4,,9,,15,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,12,1,,3,,9,,24,,24,,30,,41,,59,,497,,467,,,-,1,,3,,14,,7,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2017,12,,-,1,,9,,14,,11,,20,,65,,130,,762,,712,,,-,1,,3,,14,,19,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2017,12,11,,11,,21,,97,,98,,,-,125,,253,,1566,,1213,,1,,1,,4,,19,,27,,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2017,12,1,,8,,86,,50,,94,,95,,127,,148,,1377,,1525,,,-,1,,6,,4,,42,,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2017,12,,N,0,,0,,,N,,N,24,,363,,491,,2295,,4316,,,-,4,,12,,41,,54,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2017,12,1,,5,,21,,41,,47,,,-,33,,776,,,-,1926,,2,,2,,13,,25,,34,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,12,,-,3,,9,,15,,39,,87,,189,,263,,2312,,2151,,,-,1,,9,,15,,29,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2017,12,7,,54,,83,,486,,611,,620,,1270,,1597,,15065,,13812,,,-,1,,3,,12,,12,,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2017,12,,-,11,,21,,80,,131,,47,,102,,146,,1266,,1061,,,-,2,,8,,29,,35,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2017,12,13,,21,,53,,236,,225,,296,,539,,905,,6149,,5809,,6,,4,,65,,64,,74,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,12,,-,1,,6,,11,,21,,3,,9,,51,,129,,193,,,-,0,,2,,2,,6,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,12,,-,1,,5,,11,,16,,23,,19,,38,,315,,175,,,-,1,,3,,12,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,12,,-,3,,13,,25,,33,,,-,13,,39,,180,,156,,,-,0,,3,,8,,13,,"IDAHO
(43.680635, -114.364237)",
MAINE,2017,12,1,,2,,7,,10,,22,,,-,8,,21,,91,,108,,,-,0,,3,,8,,6,,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DIST. OF COL.,2017,12,,-,0,,2,,,-,3,,,-,65,,146,,307,,687,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,6,,104,,131,,1147,,1056,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2017,12,,-,17,,42,,120,,167,,174,,187,,459,,2128,,1812,,3,,4,,15,,37,,43,,"NEW YORK
(42.826892, -75.544286)",
ALASKA,2017,12,,-,1,,5,,6,,15,,,-,26,,54,,,-,278,,,-,0,,2,,2,,6,,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,12,,-,0,,4,,2,,13,,,-,16,,32,,92,,207,,,-,0,,4,,3,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2017,12,,-,5,,18,,36,,73,,123,,86,,129,,1098,,834,,,-,2,,7,,24,,30,,"OREGON
(44.567912, -120.156945)",
IOWA,2017,12,,-,3,,13,,28,,37,,11,,52,,74,,631,,534,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
DELAWARE,2017,12,,-,0,,3,,2,,4,,34,,33,,59,,420,,380,,,-,0,,3,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,12,,N,0,,0,,,N,,N,19,,107,,157,,1144,,1274,,,-,1,,8,,31,,17,,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2017,12,,N,0,,0,,,N,,N,,-,2,,10,,42,,39,,,-,0,,2,,3,,3,,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2017,12,,N,0,,0,,,N,,N,108,,128,,275,,1466,,637,,,-,1,,6,,20,,12,,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2017,12,2,,5,,16,,43,,62,,166,,224,,286,,2735,,2495,,3,,2,,9,,35,,40,,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2017,12,1,,1,,4,,10,,10,,4,,27,,50,,248,,259,,,-,0,,3,,10,,13,,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,12,3,,2,,9,,31,,31,,24,,43,,78,,509,,490,,1,,1,,4,,13,,6,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2017,12,,-,2,,6,,18,,26,,2,,20,,33,,174,,308,,,-,0,,2,,5,,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2017,12,,-,2,,8,,12,,18,,6,,16,,26,,174,,251,,,-,0,,2,,5,,3,,"MONTANA
(47.062617, -109.430168)",
WYOMING,2017,12,,-,1,,2,,,-,6,,2,,6,,16,,53,,42,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,12,,-,1,,4,,7,,14,,5,,66,,103,,797,,661,,,-,1,,3,,11,,11,,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2017,12,3,,4,,10,,42,,64,,182,,166,,268,,1949,,1726,,,-,2,,4,,19,,24,,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2017,12,1,,1,,8,,8,,12,,,-,8,,216,,97,,143,,,-,0,,12,,,-,2,,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,12,,-,0,,0,,,-,,-,,-,366,,430,,39,,4189,,,-,3,,10,,40,,47,,"NORTH CAROLINA
(35.47995, -79.180571)",
PUERTO RICO,2017,12,,-,0,,3,,,-,5,,,-,13,,28,,98,,142,,,-,0,,2,,2,,,-,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2017,13,117,,284,,480,,2299,,3333,,4321,,8728,,10462,,97761,,104721,,49,,88,,165,,1174,,1378,,,
NEW ENGLAND,2017,13,3,,21,,36,,152,,261,,91,,181,,416,,2234,,1999,,,-,5,,17,,52,,78,,,
MID. ATLANTIC,2017,13,41,,57,,121,,471,,698,,650,,1051,,1342,,14787,,11774,,5,,16,,29,,179,,245,,,
NEW YORK CITY,2017,13,21,,17,,27,,226,,189,,304,,400,,507,,5507,,4386,,1,,2,,7,,23,,33,,,
E.N. CENTRAL,2017,13,13,,27,,152,,211,,321,,265,,1282,,1525,,12333,,16092,,7,,13,,34,,161,,247,,,
W.N. CENTRAL,2017,13,4,,15,,41,,153,,209,,232,,524,,631,,6617,,6192,,2,,5,,14,,68,,76,,,
S. ATLANTIC,2017,13,21,,49,,74,,383,,579,,874,,1826,,2453,,12470,,22389,,11,,19,,86,,293,,300,,,
E.S. CENTRAL,2017,13,,-,4,,10,,42,,67,,225,,609,,806,,6917,,6797,,4,,7,,12,,102,,105,,,
W.S. CENTRAL,2017,13,4,,6,,21,,41,,77,,1011,,1267,,1691,,16507,,15127,,8,,10,,31,,132,,125,,,
MOUNTAIN,2017,13,14,,25,,50,,225,,265,,209,,526,,738,,6501,,5954,,7,,7,,14,,130,,132,,,
PACIFIC,2017,13,17,,73,,133,,621,,856,,764,,1547,,2000,,19395,,18397,,5,,4,,10,,57,,70,,,
AMER. SAMOA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,13,5,,53,,83,,519,,664,,583,,1283,,1597,,16328,,14933,,1,,1,,3,,13,,13,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,13,1,,10,,24,,54,,96,,37,,234,,345,,1842,,2709,,2,,3,,7,,39,,54,,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,13,1,,3,,9,,26,,27,,25,,41,,59,,541,,518,,,-,1,,3,,17,,7,,"UTAH
(39.359772, -111.584173)",
IOWA,2017,13,,-,3,,13,,33,,43,,17,,52,,74,,695,,592,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2017,13,9,,8,,67,,57,,82,,116,,152,,208,,1656,,1944,,,-,0,,2,,2,,1,,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2017,13,,-,1,,6,,15,,23,,32,,71,,94,,920,,690,,,-,1,,5,,9,,13,,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2017,13,,N,0,,0,,,N,,N,80,,136,,219,,1358,,1571,,,-,1,,6,,16,,15,,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2017,13,,-,0,,0,,,-,,-,17,,104,,131,,1252,,1150,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2017,13,,-,1,,5,,11,,17,,20,,19,,38,,343,,190,,,-,1,,3,,12,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2017,13,1,,4,,11,,38,,59,,,-,52,,130,,443,,491,,,-,1,,4,,9,,18,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,13,,-,1,,4,,8,,14,,,-,66,,103,,805,,714,,,-,1,,3,,12,,12,,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2017,13,19,,16,,42,,111,,190,,191,,187,,459,,2319,,1973,,4,,4,,15,,41,,50,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,13,,N,0,,0,,,N,,N,,-,126,,275,,1466,,820,,,-,1,,6,,22,,12,,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2017,13,9,,5,,135,,83,,83,,,-,393,,475,,3833,,4762,,5,,3,,8,,54,,57,,"OHIO
(40.056807, -82.405897)",
INDIANA,2017,13,,-,3,,9,,19,,41,,88,,189,,263,,2511,,2299,,,-,1,,9,,15,,30,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2017,13,,-,4,,10,,42,,67,,96,,167,,268,,2061,,1914,,1,,1,,4,,20,,26,,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2017,13,,-,3,,7,,28,,30,,228,,185,,300,,2630,,2422,,,-,3,,10,,51,,18,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,13,2,,4,,11,,42,,51,,138,,169,,394,,1546,,1799,,2,,2,,11,,31,,31,,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2017,13,,-,0,,3,,,-,5,,5,,13,,28,,113,,162,,,-,0,,2,,2,,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2017,13,,-,1,,4,,2,,14,,,-,17,,32,,92,,222,,,-,0,,4,,3,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,13,7,,11,,21,,104,,103,,,-,125,,253,,1566,,1322,,3,,1,,4,,21,,27,,"COLORADO
(38.841772, -106.132562)",
OREGON,2017,13,3,,5,,18,,27,,80,,65,,87,,129,,1163,,919,,4,,2,,7,,30,,34,,"OREGON
(44.567912, -120.156945)",
RHODE ISLAND,2017,13,1,,1,,8,,9,,13,,2,,6,,213,,99,,,-,,-,0,,12,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,13,,-,2,,12,,2,,115,,72,,142,,196,,1843,,1906,,,-,2,,8,,23,,37,,"NEW JERSEY
(40.104655, -74.386686)",
ILLINOIS,2017,13,,N,0,,0,,,N,,N,20,,363,,491,,2626,,4678,,,-,4,,12,,49,,60,,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2017,13,2,,2,,6,,32,,43,,168,,202,,315,,2348,,2143,,3,,2,,5,,52,,50,,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2017,13,,-,1,,2,,,-,7,,1,,5,,16,,44,,46,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2017,13,1,,1,,9,,15,,14,,15,,66,,130,,843,,772,,1,,1,,3,,15,,20,,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,13,,-,12,,28,,,-,185,,133,,324,,421,,391,,3964,,,-,3,,10,,51,,69,,"GEORGIA
(32.836038, -83.631709)",
TENNESSEE,2017,13,,N,0,,0,,,N,,N,49,,188,,309,,2032,,2492,,3,,3,,7,,44,,52,,"TENNESSEE
(35.681402, -85.774444)",
LOUISIANA,2017,13,,-,3,,12,,9,,49,,224,,223,,675,,3093,,2228,,,-,1,,4,,18,,26,,"LOUISIANA
(31.2931, -92.463284)",
MAINE,2017,13,1,,2,,7,,12,,25,,,-,8,,21,,91,,118,,,-,0,,3,,8,,7,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,13,,-,2,,6,,22,,30,,,-,20,,33,,188,,329,,,-,0,,2,,6,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2017,13,,N,0,,0,,,N,,N,711,,836,,1216,,11296,,10425,,5,,6,,29,,61,,65,,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,13,16,,21,,44,,251,,241,,312,,539,,905,,6694,,6276,,8,,4,,62,,71,,78,,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2017,13,,-,2,,9,,32,,33,,,-,43,,77,,509,,520,,1,,1,,4,,14,,6,,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2017,13,4,,5,,16,,49,,66,,166,,225,,286,,2961,,2689,,1,,2,,9,,36,,46,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2017,13,,-,2,,6,,13,,21,,7,,9,,51,,140,,202,,,-,0,,2,,3,,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2017,13,,-,0,,2,,,-,3,,,-,64,,146,,307,,770,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2017,13,1,,19,,68,,132,,204,,83,,297,,532,,5118,,3509,,,-,8,,20,,92,,125,,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2017,13,,-,0,,3,,5,,4,,43,,34,,59,,463,,402,,,-,0,,3,,8,,4,,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2017,13,,N,0,,0,,,N,,N,,-,2,,10,,42,,41,,,-,0,,2,,3,,3,,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,13,4,,3,,9,,32,,28,,43,,96,,190,,836,,1077,,,-,1,,4,,19,,15,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2017,13,,N,0,,0,,,N,,N,33,,107,,157,,1282,,1397,,3,,1,,8,,34,,19,,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,13,,-,10,,21,,80,,143,,82,,103,,144,,1419,,1147,,,-,2,,8,,29,,40,,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2017,13,,-,2,,8,,12,,21,,,-,16,,26,,174,,268,,,-,0,,2,,5,,3,,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2017,13,3,,8,,86,,55,,101,,120,,126,,148,,1521,,1644,,,-,1,,6,,4,,46,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,13,3,,3,,13,,28,,36,,,-,13,,39,,180,,171,,,-,0,,3,,8,,13,,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2017,13,3,,5,,22,,46,,48,,,-,10,,776,,,-,2049,,1,,2,,13,,27,,35,,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2017,13,,-,0,,0,,,-,,-,,-,366,,434,,96,,4517,,,-,3,,10,,41,,49,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGIN ISL.,2017,13,,-,0,,0,,,-,,-,,-,0,,3,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALASKA,2017,13,,-,1,,5,,8,,16,,,-,26,,54,,,-,311,,,-,0,,2,,2,,8,,"ALASKA
(64.836661, -147.738891)",
HAWAII,2017,13,,-,1,,4,,10,,14,,,-,27,,50,,248,,290,,,-,0,,3,,10,,14,,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,14,126,,284,,482,,2669,,3601,,4831,,8742,,10484,,108085,,112750,,39,,90,,173,,1280,,1488,,,
NEW ENGLAND,2017,14,6,,21,,36,,188,,267,,8,,183,,417,,2329,,2128,,2,,5,,17,,60,,83,,,
MID. ATLANTIC,2017,14,32,,56,,121,,547,,752,,731,,1052,,1346,,15896,,12645,,12,,16,,29,,197,,270,,,
NEW YORK CITY,2017,14,18,,17,,27,,244,,206,,266,,402,,507,,5980,,4677,,2,,2,,7,,25,,34,,,
E.N. CENTRAL,2017,14,4,,27,,153,,261,,349,,444,,1290,,1565,,14644,,17467,,7,,13,,34,,183,,260,,,
W.N. CENTRAL,2017,14,4,,15,,43,,163,,224,,268,,530,,632,,7235,,6673,,,-,5,,14,,71,,87,,,
S. ATLANTIC,2017,14,24,,49,,74,,421,,624,,644,,1828,,2453,,13662,,24084,,7,,20,,86,,321,,322,,,
E.S. CENTRAL,2017,14,,-,4,,10,,44,,73,,326,,622,,830,,8100,,7423,,,-,7,,12,,105,,113,,,
W.S. CENTRAL,2017,14,,-,6,,21,,41,,90,,1198,,1267,,1690,,17958,,16196,,1,,10,,32,,137,,137,,,
MOUNTAIN,2017,14,16,,24,,50,,253,,293,,383,,528,,738,,7169,,6349,,7,,8,,14,,144,,141,,,
PACIFIC,2017,14,40,,73,,133,,751,,929,,829,,1558,,2001,,21092,,19785,,3,,4,,10,,62,,75,,,
AMER. SAMOA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
TEXAS,2017,14,,N,0,,0,,,N,,N,844,,836,,1216,,12228,,11226,,1,,6,,30,,66,,72,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,14,1,,2,,9,,33,,35,,26,,43,,77,,632,,568,,,-,1,,4,,15,,7,,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2017,14,,-,1,,4,,4,,16,,,-,18,,34,,116,,240,,,-,0,,4,,3,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,14,1,,5,,23,,53,,53,,,-,3,,776,,,-,2064,,,-,2,,15,,29,,36,,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2017,14,5,,19,,68,,140,,219,,214,,297,,534,,5423,,3770,,5,,8,,20,,101,,139,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,14,,-,1,,9,,19,,15,,11,,66,,129,,889,,823,,,-,1,,3,,15,,21,,"NEW MEXICO
(34.520396, -106.244402)",
WEST VIRGINIA,2017,14,,-,1,,5,,11,,19,,,-,20,,38,,343,,208,,,-,1,,3,,13,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2017,14,,-,2,,6,,22,,31,,,-,20,,33,,188,,355,,,-,0,,2,,6,,6,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2017,14,,-,0,,0,,,-,,-,,-,366,,436,,102,,4875,,,-,3,,10,,45,,54,,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2017,14,20,,21,,44,,272,,263,,267,,541,,903,,7272,,6806,,3,,4,,62,,74,,83,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2017,14,1,,5,,135,,91,,88,,225,,396,,479,,5357,,5140,,6,,3,,8,,60,,62,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2017,14,24,,8,,67,,81,,95,,121,,152,,208,,1777,,2095,,,-,0,,2,,2,,1,,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2017,14,,-,3,,12,,9,,56,,256,,225,,674,,3344,,2292,,,-,1,,4,,18,,29,,"LOUISIANA
(31.2931, -92.463284)",
CONNECTICUT,2017,14,,-,4,,11,,41,,62,,1,,52,,130,,514,,525,,,-,1,,4,,9,,19,,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,14,,-,0,,3,,,-,5,,4,,13,,28,,126,,176,,,-,0,,2,,2,,1,,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARKANSAS,2017,14,,-,3,,9,,32,,34,,75,,96,,190,,1006,,1173,,,-,1,,4,,19,,15,,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2017,14,,-,1,,8,,9,,12,,,-,6,,213,,99,,,-,,-,0,,12,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,14,2,,3,,13,,30,,41,,,-,13,,39,,212,,178,,,-,0,,3,,9,,14,,"IDAHO
(43.680635, -114.364237)",
DIST. OF COL.,2017,14,,-,0,,2,,,-,3,,,-,63,,146,,307,,842,,,-,0,,1,,1,,7,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,14,3,,4,,11,,46,,53,,,-,169,,394,,1546,,1977,,3,,2,,11,,35,,34,,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,14,,N,0,,0,,,N,,N,76,,194,,333,,2781,,2711,,,-,3,,7,,44,,54,,"TENNESSEE
(35.681402, -85.774444)",
CALIFORNIA,2017,14,10,,53,,83,,591,,718,,633,,1282,,1600,,17744,,16041,,,-,1,,3,,13,,14,,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,14,,-,12,,28,,,-,197,,149,,324,,421,,764,,4295,,,-,3,,10,,53,,71,,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2017,14,,-,3,,7,,34,,32,,191,,185,,300,,2828,,2583,,1,,3,,10,,63,,22,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,14,,-,2,,6,,32,,45,,138,,203,,316,,2509,,2316,,2,,2,,6,,56,,52,,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2017,14,,N,0,,0,,,N,,N,5,,2,,10,,51,,42,,1,,0,,2,,4,,4,,"VERMONT
(43.622479, -72.51927)",
COLORADO,2017,14,11,,11,,21,,115,,116,,141,,125,,253,,1724,,1362,,3,,1,,4,,24,,31,,"COLORADO
(38.841772, -106.132562)",
UTAH,2017,14,1,,3,,9,,29,,30,,32,,41,,59,,590,,562,,,-,1,,3,,17,,8,,"UTAH
(39.359772, -111.584173)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2017,14,,-,1,,4,,8,,15,,61,,67,,104,,1019,,769,,,-,1,,3,,16,,12,,"NEVADA
(39.491833, -117.070159)",
ALASKA,2017,14,2,,1,,5,,11,,17,,,-,25,,54,,18,,331,,1,,0,,2,,3,,9,,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2017,14,,N,0,,0,,,N,,N,101,,131,,219,,1493,,1682,,,-,1,,6,,19,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2017,14,,-,3,,9,,20,,42,,84,,189,,263,,2692,,2466,,,-,1,,9,,17,,31,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,14,,-,2,,8,,15,,28,,31,,73,,94,,1002,,749,,,-,1,,5,,11,,13,,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2017,14,,-,0,,3,,5,,4,,37,,35,,59,,500,,434,,,-,0,,3,,8,,5,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,14,,N,0,,0,,,N,,N,23,,107,,157,,1380,,1505,,,-,1,,8,,34,,21,,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,14,5,,10,,21,,112,,145,,,-,103,,144,,1419,,1228,,1,,2,,8,,33,,43,,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2017,14,2,,8,,86,,64,,110,,72,,127,,149,,1645,,1784,,,-,1,,6,,7,,46,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,14,,-,0,,2,,,-,9,,,-,5,,16,,52,,47,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
