Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
NEBRASKA,2017,5,,-,0,,4,,1,,1,,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2017,5,,-,1,,3,,2,,9,,2,,1,,7,,7,,11,,,-,1,,4,,2,,5,,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,5,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
COLORADO,2017,5,,-,0,,2,,1,,2,,,-,0,,2,,1,,,-,,-,0,,3,,3,,1,,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2017,5,,-,1,,7,,5,,6,,,-,1,,4,,4,,1,,,-,1,,5,,2,,13,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2017,5,,-,0,,1,,,-,,-,,-,0,,3,,1,,4,,,-,0,,2,,1,,2,,"KANSAS
(38.345528, -98.201847)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2017,6,12,,31,,104,,95,,184,,11,,55,,79,,180,,336,,9,,45,,72,,89,,379,,,
NEW ENGLAND,2017,6,,-,2,,5,,2,,10,,,-,1,,3,,7,,13,,,-,6,,13,,2,,84,,,
MID. ATLANTIC,2017,6,4,,4,,10,,16,,27,,,-,4,,7,,10,,16,,1,,7,,17,,12,,60,,,
NEW YORK CITY,2017,6,2,,1,,3,,9,,6,,,-,1,,3,,2,,6,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2017,6,,-,4,,11,,9,,20,,1,,11,,20,,27,,69,,,-,8,,17,,11,,75,,,
W.N. CENTRAL,2017,6,,-,1,,5,,3,,8,,1,,1,,7,,6,,16,,,-,2,,7,,8,,18,,,
S. ATLANTIC,2017,6,6,,7,,55,,34,,45,,6,,19,,34,,70,,116,,6,,9,,20,,32,,71,,,
E.S. CENTRAL,2017,6,,-,0,,4,,2,,6,,,-,7,,18,,35,,62,,1,,5,,17,,5,,40,,,
W.S. CENTRAL,2017,6,,-,3,,8,,2,,19,,1,,4,,16,,13,,14,,,-,1,,5,,5,,3,,,
MOUNTAIN,2017,6,2,,2,,5,,9,,19,,1,,1,,4,,3,,7,,,-,2,,9,,8,,20,,,
PACIFIC,2017,6,,-,6,,47,,18,,30,,1,,3,,6,,9,,23,,1,,2,,8,,6,,8,,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
VIRGINIA,2017,6,,-,2,,40,,5,,7,,,-,1,,5,,4,,7,,3,,1,,4,,4,,4,,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,6,,-,2,,6,,2,,16,,1,,2,,12,,4,,5,,,-,0,,4,,3,,1,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,6,,-,0,,2,,,-,,-,1,,0,,1,,3,,3,,,-,1,,2,,,-,8,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,6,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,6,,-,0,,2,,,-,4,,,-,0,,2,,,-,1,,,-,0,,3,,,-,1,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,6,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALASKA,2017,6,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW MEXICO,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,10,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,6,,-,1,,4,,1,,9,,,-,0,,3,,,-,7,,,-,0,,3,,,-,5,,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2017,6,,-,0,,2,,1,,3,,,-,1,,3,,2,,6,,,-,0,,3,,6,,3,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MARYLAND,2017,6,,-,0,,5,,1,,2,,1,,0,,3,,4,,3,,,-,0,,3,,,-,3,,"MARYLAND
(39.290443, -76.612333)",
MISSISSIPPI,2017,6,,-,0,,1,,,-,1,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2017,6,,-,1,,4,,,-,10,,,-,0,,3,,,-,6,,,-,0,,3,,,-,12,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,6,,-,0,,2,,1,,5,,,-,1,,3,,6,,14,,,-,0,,4,,,-,4,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2017,6,,-,0,,2,,1,,,-,,-,3,,11,,12,,20,,,-,1,,8,,1,,11,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2017,6,,-,0,,1,,,-,3,,,-,1,,4,,5,,3,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,6,,-,0,,2,,4,,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2017,6,,-,0,,39,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2017,6,,-,1,,5,,,-,7,,,-,2,,6,,1,,16,,,-,1,,4,,,-,12,,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2017,6,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,1,,4,,3,,3,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,6,,-,0,,2,,,-,,-,,-,4,,7,,14,,25,,1,,2,,11,,4,,25,,"TENNESSEE
(35.681402, -85.774444)",
MINNESOTA,2017,6,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,1,,4,,,-,6,,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEBRASKA,2017,6,,-,0,,4,,1,,2,,1,,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,6,,-,1,,4,,2,,6,,,-,0,,2,,2,,6,,,-,6,,11,,,-,73,,"MASSACHUSETTS
(42.268546, -72.085064)",
MICHIGAN,2017,6,,-,1,,7,,5,,6,,,-,1,,4,,4,,1,,,-,1,,5,,2,,13,,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2017,6,,-,1,,4,,2,,11,,1,,2,,7,,10,,12,,,-,1,,4,,2,,8,,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2017,6,,-,0,,3,,1,,,-,1,,1,,3,,2,,2,,1,,1,,6,,1,,2,,"WASHINGTON
(47.517368, -120.467672)",
COLORADO,2017,6,1,,0,,2,,2,,4,,1,,0,,2,,2,,,-,,-,0,,3,,3,,2,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,6,,-,0,,1,,1,,5,,,-,4,,9,,7,,15,,,-,2,,7,,3,,19,,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,6,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2017,6,,-,0,,1,,,-,2,,,-,1,,3,,5,,5,,,-,0,,3,,2,,3,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,6,,-,0,,3,,,-,,-,,-,1,,5,,4,,6,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2017,6,,-,0,,7,,2,,,-,,-,5,,13,,13,,43,,,-,3,,10,,6,,30,,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2017,6,,-,0,,4,,2,,1,,,-,0,,12,,,-,20,,,-,1,,6,,4,,11,,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,6,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,,-,0,,4,,1,,1,,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2017,6,,-,0,,3,,,-,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2017,6,,-,1,,3,,2,,6,,,-,1,,3,,7,,1,,,-,3,,11,,5,,25,,"PENNSYLVANIA
(40.789676, -77.858055)",
IOWA,2017,6,,-,0,,2,,1,,2,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
FLORIDA,2017,6,4,,2,,7,,18,,15,,4,,11,,17,,48,,52,,3,,4,,9,,21,,32,,"FLORIDA
(28.915325, -81.922409)",
OREGON,2017,6,,-,0,,2,,4,,2,,,-,0,,3,,1,,1,,,-,0,,2,,1,,2,,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,6,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,6,,-,0,,1,,,-,,-,,-,0,,3,,1,,5,,,-,0,,2,,1,,3,,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2017,6,2,,0,,3,,6,,2,,,-,0,,4,,2,,6,,,-,0,,2,,1,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2017,6,,-,4,,9,,10,,28,,,-,2,,6,,6,,20,,,-,1,,4,,4,,4,,"CALIFORNIA
(37.640735, -121.002435)",
VERMONT,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
IDAHO,2017,6,1,,0,,1,,2,,1,,,-,0,,1,,1,,2,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2017,6,2,,1,,3,,5,,5,,,-,1,,3,,1,,3,,1,,3,,11,,7,,21,,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,7,11,,31,,104,,116,,211,,19,,57,,80,,232,,390,,8,,45,,72,,116,,433,,,
NEW ENGLAND,2017,7,,-,2,,5,,2,,12,,,-,1,,3,,9,,14,,1,,6,,13,,4,,95,,,
MID. ATLANTIC,2017,7,5,,4,,10,,21,,30,,2,,4,,7,,13,,18,,2,,7,,17,,14,,68,,,
NEW YORK CITY,2017,7,4,,1,,3,,13,,6,,2,,1,,3,,4,,6,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2017,7,,-,4,,11,,15,,24,,3,,11,,20,,39,,77,,1,,8,,17,,14,,84,,,
W.N. CENTRAL,2017,7,,-,1,,5,,3,,10,,,-,1,,7,,6,,17,,,-,2,,7,,9,,20,,,
S. ATLANTIC,2017,7,4,,7,,55,,38,,52,,10,,21,,34,,91,,138,,3,,9,,20,,42,,84,,,
E.S. CENTRAL,2017,7,,-,0,,4,,2,,6,,1,,8,,18,,40,,75,,1,,4,,17,,10,,44,,,
W.S. CENTRAL,2017,7,1,,3,,8,,4,,24,,1,,4,,16,,19,,17,,,-,1,,5,,5,,3,,,
VIRGINIA,2017,7,1,,2,,40,,6,,9,,,-,1,,5,,5,,7,,,-,1,,4,,4,,5,,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2017,7,,-,2,,5,,9,,19,,,-,1,,5,,3,,8,,,-,2,,9,,9,,26,,,
PACIFIC,2017,7,1,,6,,47,,22,,34,,2,,3,,7,,12,,26,,,-,2,,9,,9,,9,,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARKANSAS,2017,7,,-,0,,3,,,-,,-,,-,1,,5,,6,,6,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2017,7,,-,0,,2,,1,,2,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2017,7,,-,1,,5,,5,,11,,,-,0,,3,,1,,8,,,-,0,,3,,1,,5,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2017,7,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,1,,4,,,-,7,,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2017,7,,-,1,,7,,5,,7,,,-,1,,4,,4,,2,,,-,1,,5,,2,,16,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2017,7,,-,0,,1,,2,,1,,,-,0,,1,,1,,2,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2017,7,2,,2,,7,,20,,15,,10,,11,,17,,58,,62,,3,,4,,9,,28,,36,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2017,7,,-,0,,7,,2,,,-,3,,5,,13,,18,,47,,1,,3,,10,,7,,31,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,7,,-,1,,4,,2,,13,,,-,2,,7,,10,,13,,,-,1,,4,,2,,11,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2017,7,,-,0,,1,,,-,4,,,-,1,,4,,6,,4,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
INDIANA,2017,7,,-,0,,1,,2,,6,,,-,4,,9,,13,,17,,,-,2,,7,,4,,23,,"INDIANA
(39.76845, -86.156212)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MONTANA,2017,7,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,-,0,,2,,1,,5,,"MONTANA
(47.062617, -109.430168)",
OREGON,2017,7,,-,0,,2,,4,,2,,,-,0,,3,,1,,1,,,-,0,,2,,1,,3,,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,7,,-,0,,39,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,7,,-,0,,4,,1,,3,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2017,7,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2017,7,,-,0,,2,,4,,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2017,7,,-,1,,4,,,-,11,,,-,0,,3,,,-,8,,,-,0,,3,,,-,14,,"NEW JERSEY
(40.104655, -74.386686)",
MISSISSIPPI,2017,7,,-,0,,1,,,-,1,,,-,0,,2,,4,,4,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,11,,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2017,7,,-,0,,3,,1,,,-,2,,1,,4,,4,,3,,,-,1,,6,,1,,2,,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK,2017,7,1,,1,,3,,6,,7,,,-,1,,4,,1,,3,,,-,3,,11,,7,,25,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,7,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,1,,4,,4,,5,,"UTAH
(39.359772, -111.584173)",
DIST. OF COL.,2017,7,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2017,7,,-,1,,3,,2,,6,,,-,1,,3,,8,,1,,2,,3,,11,,7,,27,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,7,,-,0,,2,,1,,5,,,-,1,,3,,7,,16,,,-,0,,4,,1,,6,,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2017,7,1,,2,,6,,4,,19,,1,,2,,12,,7,,7,,,-,0,,4,,3,,1,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,7,,-,0,,3,,,-,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
CALIFORNIA,2017,7,1,,4,,9,,14,,32,,,-,2,,6,,7,,22,,,-,1,,4,,7,,4,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2017,7,,-,0,,2,,,-,4,,,-,0,,2,,,-,2,,,-,0,,3,,,-,1,,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,7,,-,0,,4,,,-,1,,,-,0,,8,,,-,,-,,-,0,,4,,1,,1,,"OKLAHOMA
(35.468494, -97.521264)",
WISCONSIN,2017,7,,-,0,,2,,1,,,-,,-,0,,1,,3,,3,,,-,1,,2,,,-,9,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2017,7,,-,1,,4,,2,,7,,,-,0,,2,,2,,7,,,-,5,,11,,,-,84,,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2017,7,,-,0,,5,,1,,2,,,-,1,,3,,4,,5,,,-,0,,3,,1,,3,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2017,7,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,7,,-,0,,1,,,-,,-,,-,0,,3,,1,,5,,,-,0,,2,,1,,3,,"KANSAS
(38.345528, -98.201847)",
COLORADO,2017,7,,-,0,,2,,2,,4,,,-,0,,2,,2,,,-,,-,0,,3,,3,,3,,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2017,7,,-,0,,3,,6,,2,,,-,0,,4,,3,,8,,,-,0,,2,,1,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2017,7,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2017,7,,-,0,,2,,1,,4,,,-,1,,3,,2,,6,,,-,0,,3,,6,,3,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,7,1,,0,,4,,3,,1,,,-,4,,12,,8,,25,,,-,1,,6,,6,,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
MAINE,2017,7,,-,0,,1,,,-,2,,,-,1,,3,,7,,5,,1,,0,,3,,4,,3,,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,7,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2017,7,,-,0,,2,,1,,,-,1,,3,,11,,13,,25,,,-,1,,8,,2,,12,,"KENTUCKY
(37.64591, -84.774043)",
TENNESSEE,2017,7,,-,0,,2,,,-,,-,,-,4,,7,,16,,30,,1,,2,,11,,7,,26,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,7,,-,1,,5,,,-,10,,,-,3,,7,,2,,18,,,-,1,,4,,,-,14,,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2017,8,11,,31,,104,,159,,235,,16,,58,,80,,296,,468,,17,,47,,73,,167,,490,,,
NEW ENGLAND,2017,8,,-,2,,5,,5,,13,,,-,1,,4,,10,,17,,1,,6,,13,,11,,104,,,
MID. ATLANTIC,2017,8,4,,4,,10,,25,,33,,2,,4,,7,,18,,23,,5,,7,,18,,20,,78,,,
NEW YORK CITY,2017,8,1,,1,,4,,14,,6,,1,,1,,3,,5,,7,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2017,8,1,,4,,11,,35,,27,,2,,11,,20,,54,,90,,3,,8,,17,,29,,94,,,
W.N. CENTRAL,2017,8,,-,1,,5,,4,,11,,1,,1,,7,,8,,20,,1,,2,,7,,10,,20,,,
S. ATLANTIC,2017,8,5,,7,,55,,46,,56,,6,,20,,34,,110,,170,,3,,10,,20,,53,,96,,,
E.S. CENTRAL,2017,8,,-,0,,4,,2,,7,,2,,8,,18,,48,,85,,2,,4,,17,,15,,53,,,
W.S. CENTRAL,2017,8,,-,3,,8,,6,,29,,,-,4,,16,,27,,24,,,-,1,,5,,6,,4,,,
MOUNTAIN,2017,8,,-,2,,5,,10,,19,,1,,1,,4,,6,,10,,2,,2,,9,,14,,27,,,
PACIFIC,2017,8,1,,6,,47,,26,,40,,2,,3,,8,,15,,29,,,-,2,,9,,9,,14,,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
VIRGINIA,2017,8,1,,2,,40,,7,,10,,,-,1,,5,,6,,12,,,-,1,,4,,4,,7,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2017,8,,-,0,,1,,2,,1,,,-,0,,1,,1,,3,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2017,8,2,,1,,3,,4,,6,,,-,1,,3,,9,,3,,2,,3,,11,,10,,34,,"PENNSYLVANIA
(40.789676, -77.858055)",
WASHINGTON,2017,8,,-,0,,3,,1,,,-,1,,1,,5,,5,,4,,,-,1,,6,,1,,3,,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2017,8,,-,0,,1,,,-,1,,,-,1,,2,,6,,4,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2017,8,,-,1,,4,,3,,14,,,-,2,,7,,12,,15,,,-,1,,4,,2,,13,,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,8,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,-,0,,2,,2,,5,,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2017,8,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2017,8,,-,2,,6,,4,,24,,,-,2,,12,,8,,12,,,-,0,,4,,4,,2,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,8,,-,0,,3,,1,,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2017,8,,-,0,,3,,1,,,-,,-,1,,5,,7,,7,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,8,,-,0,,4,,3,,1,,,-,4,,12,,13,,27,,,-,1,,6,,6,,14,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,8,,-,0,,2,,2,,4,,1,,0,,2,,3,,1,,2,,0,,3,,5,,3,,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,8,,-,0,,2,,5,,7,,,-,0,,2,,2,,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2017,8,,-,1,,5,,1,,11,,,-,3,,8,,3,,24,,,-,1,,4,,2,,16,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2017,8,,-,1,,5,,5,,12,,,-,0,,3,,1,,9,,,-,0,,3,,1,,6,,"ILLINOIS
(40.477092, -88.993221)",
