Reporting Area,MMWR Year,MMWR Week,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week, flag ","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016, flag",Location 1,Location 2
NEW HAMPSHIRE,2017,6,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WYOMING,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2017,6,,-,0,,3,,1,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,6,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARKANSAS,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,6,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,6,,-,0,,7,,1,,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OKLAHOMA,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARIZONA,2017,6,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
ALASKA,2017,6,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,6,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,6,,-,1,,9,,1,,3,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2017,7,6,,16,,72,,49,,64,,1,,0,,3,,10,,5,,,
NEW ENGLAND,2017,7,,-,1,,14,,1,,4,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,7,,-,1,,10,,6,,2,,,-,0,,1,,,-,4,,,
NEW YORK CITY,2017,7,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,7,,-,1,,5,,1,,5,,,-,0,,1,,1,,,-,,
W.N. CENTRAL,2017,7,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,7,4,,7,,21,,23,,20,,,-,0,,2,,4,,1,,,
E.S. CENTRAL,2017,7,,-,1,,5,,1,,8,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,7,,-,2,,11,,4,,7,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,7,,-,1,,4,,3,,2,,1,,0,,2,,5,,,-,,
PACIFIC,2017,7,2,,3,,22,,10,,15,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MARYLAND,2017,7,1,,1,,7,,2,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2017,7,,-,0,,3,,,-,1,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
IDAHO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MASSACHUSETTS,2017,7,,-,0,,7,,1,,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,7,1,,0,,3,,3,,2,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
VIRGINIA,2017,7,,-,0,,6,,1,,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2017,7,,-,0,,4,,1,,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2017,7,,-,1,,9,,1,,3,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2017,7,,-,0,,5,,4,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2017,7,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2017,7,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
UTAH,2017,7,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
DELAWARE,2017,7,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,7,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2017,7,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,7,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GEORGIA,2017,7,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2017,7,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VERMONT,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALASKA,2017,7,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2017,7,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2017,7,,-,0,,2,,1,,1,,1,,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,7,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,7,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2017,7,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,7,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,7,,-,0,,3,,3,,4,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,7,3,,3,,10,,20,,13,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2017,7,1,,2,,10,,6,,9,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,7,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2017,7,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2017,7,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
DIST. OF COL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KANSAS,2017,7,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2017,7,,-,0,,3,,1,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2017,7,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2017,7,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2017,7,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2017,8,7,,16,,72,,56,,69,,3,,0,,3,,15,,5,,,
NEW ENGLAND,2017,8,2,,1,,14,,3,,4,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,8,1,,1,,10,,7,,2,,1,,0,,1,,1,,4,,,
NEW YORK CITY,2017,8,1,,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,8,1,,1,,5,,2,,5,,1,,0,,1,,3,,,-,,
W.N. CENTRAL,2017,8,,-,0,,2,,,-,2,,1,,0,,1,,1,,,-,,
S. ATLANTIC,2017,8,2,,7,,21,,25,,20,,,-,0,,2,,4,,1,,,
E.S. CENTRAL,2017,8,,-,1,,5,,1,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,8,,-,2,,11,,4,,7,,,-,0,,1,,1,,,-,,
MOUNTAIN,2017,8,,-,1,,4,,3,,2,,,-,0,,2,,5,,,-,,
PACIFIC,2017,8,1,,3,,22,,11,,18,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
COLORADO,2017,8,,-,0,,2,,1,,1,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2017,8,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,8,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2017,8,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MAINE,2017,8,2,,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2017,8,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2017,8,,-,0,,5,,4,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,8,1,,0,,2,,2,,,-,1,,0,,0,,1,,,-,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2017,8,,-,0,,3,,3,,4,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2017,8,1,,0,,3,,2,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2017,8,,-,0,,3,,,-,1,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2017,8,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2017,8,1,,3,,10,,21,,13,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2017,8,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2017,8,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2017,8,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2017,8,,-,0,,1,,,-,1,,1,,0,,0,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MONTANA,2017,8,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,8,1,,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IDAHO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2017,8,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2017,8,,-,1,,9,,1,,3,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2017,8,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2017,8,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KENTUCKY,2017,8,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2017,8,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TENNESSEE,2017,8,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2017,8,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
CALIFORNIA,2017,8,,-,1,,10,,6,,11,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2017,8,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,8,,-,0,,6,,1,,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2017,8,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,8,,-,0,,7,,1,,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2017,8,,-,0,,3,,1,,,-,1,,0,,0,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2017,8,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2017,8,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2017,8,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
UNITED STATES,2017,9,3,,16,,72,,59,,76,,,-,0,,3,,15,,5,,,
NEW ENGLAND,2017,9,,-,1,,14,,3,,6,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,9,1,,1,,10,,8,,2,,,-,0,,1,,1,,4,,,
NEW YORK CITY,2017,9,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,9,,-,1,,5,,2,,6,,,-,0,,1,,3,,,-,,
W.N. CENTRAL,2017,9,,-,0,,2,,,-,2,,,-,0,,1,,1,,,-,,
S. ATLANTIC,2017,9,2,,7,,21,,27,,20,,,-,0,,2,,4,,1,,,
E.S. CENTRAL,2017,9,,-,1,,5,,1,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,9,,-,2,,11,,4,,8,,,-,0,,1,,1,,,-,,
MOUNTAIN,2017,9,,-,1,,4,,3,,3,,,-,0,,2,,5,,,-,,
PACIFIC,2017,9,,-,2,,22,,11,,20,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2017,9,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
CONNECTICUT,2017,9,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2017,9,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2017,9,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,9,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
SOUTH CAROLINA,2017,9,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
PUERTO RICO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MARYLAND,2017,9,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
DELAWARE,2017,9,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEBRASKA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,9,,-,0,,3,,,-,1,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2017,9,,-,0,,2,,1,,2,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
IDAHO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2017,9,1,,0,,5,,5,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2017,9,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2017,9,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,9,,-,0,,6,,1,,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,9,,-,0,,3,,2,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TEXAS,2017,9,,-,1,,9,,1,,4,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,9,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2017,9,,-,0,,3,,1,,,-,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2017,9,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2017,9,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
ILLINOIS,2017,9,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2017,9,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2017,9,,-,1,,10,,6,,13,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,9,2,,3,,10,,23,,13,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
