Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2017","Babesiosis, Cum 2017, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2017","Campylobacteriosis, Cum 2017, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag",Location 1,Location 2
CONNECTICUT,2017,10,,-,2,,32,,1,,6,,2,,10,,35,,58,,86,,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2017,10,,N,0,,0,,,N,,N,11,,7,,20,,61,,67,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,10,,-,0,,2,,3,,,-,8,,15,,32,,121,,146,,"MARYLAND
(39.290443, -76.612333)",
SOUTH DAKOTA,2017,10,,-,0,,0,,,-,,-,,-,7,,24,,29,,63,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2017,10,,-,3,,50,,1,,12,,,-,26,,44,,133,,211,,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2017,10,,-,0,,5,,,-,,-,1,,4,,10,,14,,26,,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,10,,-,0,,0,,,-,1,,,-,0,,9,,,-,25,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2017,10,,-,0,,0,,,-,,-,15,,22,,51,,156,,168,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,10,,-,0,,2,,,-,,-,,-,29,,51,,143,,196,,"MICHIGAN
(44.66399, -84.711206)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,10,,-,0,,1,,,-,,-,,-,6,,14,,39,,52,,"MONTANA
(47.062617, -109.430168)",
OHIO,2017,10,,-,0,,0,,,-,,-,21,,37,,63,,269,,340,,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,10,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST VIRGINIA,2017,10,,-,0,,0,,,-,,-,,-,4,,14,,11,,19,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,10,,-,0,,1,,,-,,-,10,,10,,26,,60,,63,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2017,10,,-,3,,26,,6,,4,,,-,33,,60,,160,,184,,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,10,,-,0,,0,,,-,,-,,-,3,,9,,18,,13,,"WYOMING
(43.23558, -108.110518)",
IOWA,2017,10,,-,0,,1,,,-,,-,,-,18,,44,,92,,131,,"IOWA
(42.46942, -93.815856)",
FLORIDA,2017,10,,N,0,,0,,,N,,N,40,,39,,59,,365,,349,,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2017,10,,N,0,,0,,,N,,N,3,,20,,45,,46,,126,,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,10,,-,0,,10,,4,,1,,1,,4,,12,,32,,22,,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2017,10,,-,1,,7,,2,,,-,9,,29,,59,,171,,229,,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2017,10,,N,0,,0,,,N,,N,,-,12,,31,,45,,85,,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2017,10,,-,0,,1,,,-,,-,,-,37,,64,,142,,270,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2017,10,,N,0,,0,,,N,,N,1,,9,,25,,45,,57,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2017,10,,-,1,,20,,5,,2,,,-,31,,65,,208,,271,,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2017,10,,-,1,,24,,,-,3,,,-,4,,13,,21,,31,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2017,11,2,,14,,146,,31,,38,,254,,1077,,1656,,7335,,8246,,,
NEW ENGLAND,2017,11,1,,5,,108,,9,,23,,11,,51,,101,,343,,446,,,
MID. ATLANTIC,2017,11,1,,6,,41,,16,,12,,48,,175,,308,,1334,,1449,,,
NEW YORK CITY,2017,11,1,,1,,9,,5,,5,,32,,34,,54,,388,,294,,,
E.N. CENTRAL,2017,11,,-,1,,7,,2,,,-,,-,149,,243,,855,,1261,,,
W.N. CENTRAL,2017,11,,-,0,,1,,,-,1,,19,,73,,155,,454,,591,,,
S. ATLANTIC,2017,11,,-,0,,2,,3,,1,,50,,137,,217,,1031,,1280,,,
E.S. CENTRAL,2017,11,,-,0,,1,,1,,,-,13,,44,,76,,395,,412,,,
W.S. CENTRAL,2017,11,,-,0,,1,,,-,,-,95,,119,,243,,737,,438,,,
MOUNTAIN,2017,11,,-,0,,1,,,-,,-,5,,79,,143,,547,,634,,,
PACIFIC,2017,11,,-,0,,1,,,-,1,,13,,235,,342,,1639,,1735,,,
AMER. SAMOA,2017,11,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
MINNESOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2017,11,,-,1,,20,,5,,3,,,-,31,,65,,249,,300,,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2017,11,,N,0,,0,,,N,,N,,-,12,,31,,53,,96,,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,11,,-,0,,0,,,-,,-,,-,37,,63,,280,,362,,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2017,11,,N,0,,0,,,N,,N,8,,26,,66,,157,,252,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,11,,-,0,,0,,,-,,-,1,,7,,24,,33,,67,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2017,11,,-,0,,2,,,-,,-,,-,29,,51,,143,,210,,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2017,11,,-,0,,2,,,-,,-,1,,5,,12,,45,,30,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,11,,N,0,,0,,,N,,N,10,,23,,57,,191,,197,,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2017,11,,-,0,,0,,,-,,-,5,,13,,27,,117,,123,,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2017,11,,N,0,,0,,,N,,N,,-,25,,49,,129,,214,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2017,11,,-,0,,0,,,-,,-,12,,9,,29,,85,,64,,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2017,11,,N,0,,0,,,N,,N,34,,39,,59,,401,,378,,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2017,11,,-,0,,5,,,-,,-,1,,4,,10,,16,,29,,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,11,,-,0,,0,,,-,1,,,-,0,,9,,,-,27,,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2017,11,,-,0,,1,,,-,,-,4,,13,,30,,110,,125,,"TENNESSEE
(35.681402, -85.774444)",
DIST. OF COL.,2017,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2017,11,,-,0,,1,,,-,,-,,-,9,,27,,53,,75,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2017,11,,N,0,,0,,,N,,N,16,,78,,160,,537,,656,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2017,11,,-,0,,1,,,-,,-,4,,10,,25,,66,,67,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2017,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WEST VIRGINIA,2017,11,,-,0,,0,,,-,,-,1,,4,,14,,13,,21,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,11,,-,0,,0,,,-,,-,,-,22,,51,,156,,179,,"ARIZONA
(34.869712, -111.760902)",
ALASKA,2017,11,,N,0,,0,,,N,,N,,-,2,,7,,10,,12,,"ALASKA
(64.836661, -147.738891)",
NEW MEXICO,2017,11,,N,0,,0,,,N,,N,,-,9,,25,,56,,65,,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2017,11,,N,0,,0,,,N,,N,4,,8,,20,,65,,68,,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,11,,-,0,,0,,,-,,-,,-,3,,9,,18,,14,,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,11,,-,3,,50,,1,,12,,9,,26,,44,,167,,233,,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,11,,N,0,,0,,,N,,N,,-,19,,45,,130,,141,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,11,,N,0,,0,,,N,,N,2,,8,,25,,64,,57,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,11,,-,0,,1,,1,,,-,1,,13,,25,,90,,124,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,11,,-,0,,1,,,-,1,,,-,18,,37,,112,,131,,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,11,,N,0,,0,,,N,,N,,-,1,,2,,6,,9,,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2017,11,,-,1,,7,,2,,,-,,-,28,,59,,171,,255,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,11,,N,0,,0,,,N,,N,32,,20,,45,,75,,140,,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2017,11,,-,0,,0,,,-,,-,,-,17,,31,,91,,140,,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,11,,-,0,,1,,,-,,-,51,,78,,218,,506,,149,,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2017,11,,-,0,,1,,,-,,-,,-,165,,239,,1379,,1323,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2017,11,,N,0,,0,,,N,,N,1,,3,,12,,30,,33,,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,11,,-,0,,1,,,-,,-,,-,6,,14,,39,,59,,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,11,,-,0,,2,,3,,,-,4,,15,,32,,126,,159,,"MARYLAND
(39.290443, -76.612333)",
MISSISSIPPI,2017,11,,N,0,,0,,,N,,N,3,,6,,13,,78,,40,,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,11,,-,0,,1,,,-,,-,,-,11,,22,,71,,85,,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2017,11,,-,0,,1,,,-,,-,,-,37,,64,,170,,294,,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2017,11,,-,0,,0,,,-,,-,11,,23,,151,,74,,212,,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2017,11,1,,0,,10,,5,,1,,,-,4,,12,,33,,28,,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,11,,-,0,,1,,,-,1,,3,,7,,16,,58,,62,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2017,11,,-,2,,32,,3,,7,,,-,10,,35,,61,,93,,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK,2017,11,,-,3,,26,,6,,4,,,-,33,,60,,160,,199,,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2017,11,,-,1,,24,,,-,3,,,-,4,,13,,21,,33,,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2017,11,,-,0,,1,,,-,,-,4,,18,,44,,111,,137,,"IOWA
(42.46942, -93.815856)",
DELAWARE,2017,11,,-,0,,1,,,-,,-,,-,3,,9,,14,,23,,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,11,,N,0,,0,,,N,,N,,-,17,,34,,133,,171,,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2017,12,,-,14,,146,,33,,41,,360,,1088,,1655,,8470,,8986,,,
NEW ENGLAND,2017,12,,-,6,,108,,10,,24,,5,,51,,101,,373,,476,,,
MID. ATLANTIC,2017,12,,-,5,,41,,16,,14,,53,,176,,308,,1509,,1577,,,
NEW YORK CITY,2017,12,,-,1,,9,,5,,5,,28,,34,,54,,410,,319,,,
E.N. CENTRAL,2017,12,,-,1,,7,,2,,,-,32,,149,,243,,1022,,1369,,,
W.N. CENTRAL,2017,12,,-,0,,1,,,-,1,,12,,72,,154,,501,,639,,,
S. ATLANTIC,2017,12,,-,0,,2,,3,,1,,52,,137,,215,,1167,,1365,,,
E.S. CENTRAL,2017,12,,-,0,,1,,1,,,-,25,,45,,76,,467,,448,,,
W.S. CENTRAL,2017,12,,-,0,,1,,,-,,-,51,,121,,244,,814,,530,,,
MOUNTAIN,2017,12,,-,0,,1,,,-,,-,36,,79,,143,,653,,696,,,
PACIFIC,2017,12,,-,0,,1,,1,,1,,94,,235,,341,,1964,,1886,,,
AMER. SAMOA,2017,12,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2017,12,,-,0,,0,,,-,,-,,-,4,,14,,13,,21,,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2017,12,,-,0,,1,,,-,,-,5,,18,,43,,122,,155,,"IOWA
(42.46942, -93.815856)",
MAINE,2017,12,,-,0,,10,,5,,2,,2,,4,,12,,38,,31,,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2017,12,,N,0,,0,,,N,,N,3,,6,,15,,86,,43,,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,12,,-,0,,5,,,-,,-,,-,4,,10,,21,,31,,"VERMONT
(43.622479, -72.51927)",
CALIFORNIA,2017,12,,-,0,,1,,1,,,-,67,,165,,239,,1645,,1433,,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2017,12,,N,0,,0,,,N,,N,,-,1,,2,,6,,11,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2017,12,,N,0,,0,,,N,,N,9,,26,,66,,170,,273,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,12,,-,0,,0,,,-,,-,,-,7,,24,,33,,69,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2017,12,,N,0,,0,,,N,,N,,-,2,,7,,10,,12,,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2017,12,,-,0,,1,,,-,,-,4,,13,,30,,120,,133,,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2017,12,,-,0,,2,,,-,,-,,-,30,,51,,165,,226,,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2017,12,,N,0,,0,,,N,,N,,-,26,,49,,148,,231,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,12,,N,0,,0,,,N,,N,3,,18,,34,,175,,186,,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2017,12,,-,0,,1,,,-,,-,38,,80,,220,,569,,217,,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,12,,-,0,,0,,,-,,-,8,,9,,29,,94,,71,,"ARKANSAS
(34.748745, -92.275105)",
UTAH,2017,12,,-,0,,1,,,-,,-,,-,9,,27,,65,,82,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,12,,-,1,,20,,5,,3,,,-,32,,65,,307,,329,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2017,12,,-,3,,26,,6,,6,,,-,33,,60,,210,,219,,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2017,12,,-,0,,2,,3,,,-,5,,15,,32,,138,,162,,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,12,,-,0,,2,,,-,,-,,-,5,,12,,46,,32,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,12,,-,3,,50,,1,,12,,,-,26,,44,,167,,247,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2017,12,,N,0,,0,,,N,,N,4,,23,,57,,207,,211,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,12,,N,0,,0,,,N,,N,5,,21,,45,,80,,151,,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,12,,-,0,,0,,,-,,-,1,,3,,9,,28,,20,,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2017,12,,-,0,,1,,,-,,-,,-,3,,9,,14,,25,,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,12,,N,0,,0,,,N,,N,17,,19,,45,,161,,162,,"COLORADO
(38.841772, -106.132562)",
PENNSYLVANIA,2017,12,,N,0,,0,,,N,,N,25,,78,,160,,582,,710,,"PENNSYLVANIA
(40.789676, -77.858055)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,12,,N,0,,0,,,N,,N,,-,12,,31,,69,,104,,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,12,,-,0,,1,,,-,,-,3,,10,,25,,70,,71,,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,12,,-,0,,0,,,-,,-,28,,37,,63,,318,,384,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,12,,N,0,,0,,,N,,N,4,,8,,25,,70,,61,,"HAWAII
(21.30992, -157.858158)",
CONNECTICUT,2017,12,,-,2,,32,,4,,7,,1,,10,,35,,73,,99,,"CONNECTICUT
(41.544654, -72.651713)",
RHODE ISLAND,2017,12,,-,1,,24,,,-,3,,2,,4,,13,,28,,36,,"RHODE ISLAND
(41.707447, -71.522488)",
ILLINOIS,2017,12,,-,0,,1,,,-,,-,1,,37,,64,,226,,325,,"ILLINOIS
(40.477092, -88.993221)",
KENTUCKY,2017,12,,-,0,,1,,,-,,-,14,,13,,27,,140,,135,,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,12,,-,0,,0,,,-,,-,15,,22,,51,,199,,194,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2017,12,,N,0,,0,,,N,,N,1,,9,,25,,61,,71,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2017,12,,-,0,,0,,,-,1,,,-,0,,9,,,-,29,,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGIN ISL.,2017,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2017,12,,-,0,,1,,1,,,-,4,,13,,25,,121,,137,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,12,,-,0,,1,,,-,1,,1,,18,,37,,144,,146,,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,12,,-,0,,1,,,-,,-,,-,6,,14,,39,,61,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,12,,-,0,,0,,,-,,-,,-,17,,31,,118,,157,,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,12,,N,0,,0,,,N,,N,,-,3,,12,,33,,35,,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2017,12,,-,0,,1,,,-,,-,,-,11,,22,,71,,91,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,12,,-,0,,1,,,-,1,,4,,7,,16,,68,,65,,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2017,12,,N,0,,0,,,N,,N,31,,40,,59,,441,,402,,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2017,12,,N,0,,0,,,N,,N,2,,8,,20,,67,,71,,"IDAHO
(43.680635, -114.364237)",
DIST. OF COL.,2017,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2017,12,,-,1,,7,,2,,,-,3,,28,,59,,195,,277,,"WISCONSIN
(44.395526, -89.834513)",
WASHINGTON,2017,12,,-,0,,0,,,-,,-,22,,23,,154,,95,,234,,"WASHINGTON
(47.517368, -120.467672)",
UNITED STATES,2017,13,1,,15,,144,,34,,47,,486,,1097,,1655,,9160,,9844,,,
NEW ENGLAND,2017,13,,-,6,,108,,10,,28,,4,,51,,101,,392,,515,,,
MID. ATLANTIC,2017,13,1,,6,,38,,17,,15,,73,,176,,308,,1551,,1715,,,
NEW YORK CITY,2017,13,,-,1,,9,,5,,5,,42,,34,,54,,450,,343,,,
E.N. CENTRAL,2017,13,,-,1,,7,,2,,,-,38,,149,,243,,1119,,1505,,,
W.N. CENTRAL,2017,13,,-,0,,1,,,-,1,,33,,72,,154,,558,,703,,,
S. ATLANTIC,2017,13,,-,0,,2,,3,,2,,104,,137,,216,,1302,,1488,,,
E.S. CENTRAL,2017,13,,-,0,,1,,1,,,-,7,,45,,75,,488,,480,,,
W.S. CENTRAL,2017,13,,-,0,,1,,,-,,-,88,,121,,244,,919,,627,,,
MOUNTAIN,2017,13,,-,0,,1,,,-,,-,35,,80,,143,,723,,755,,,
PACIFIC,2017,13,,-,0,,1,,1,,1,,104,,236,,341,,2108,,2056,,,
AMER. SAMOA,2017,13,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
TEXAS,2017,13,,-,0,,1,,,-,,-,68,,80,,220,,650,,289,,"TEXAS
(31.827233, -99.423022)",
OHIO,2017,13,,-,0,,0,,,-,,-,28,,37,,63,,347,,418,,"OHIO
(40.056807, -82.405897)",
IDAHO,2017,13,,N,0,,0,,,N,,N,7,,8,,20,,85,,76,,"IDAHO
(43.680635, -114.364237)",
MAINE,2017,13,,-,0,,10,,5,,2,,1,,4,,12,,40,,35,,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2017,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
IOWA,2017,13,,-,0,,1,,,-,,-,11,,17,,43,,139,,169,,"IOWA
(42.46942, -93.815856)",
GUAM,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,13,1,,3,,26,,7,,10,,28,,33,,60,,194,,240,,"NEW YORK
(42.826892, -75.544286)",
NORTH CAROLINA,2017,13,,N,0,,0,,,N,,N,,-,26,,49,,148,,255,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,13,,-,0,,5,,,-,,-,2,,4,,10,,25,,34,,"VERMONT
(43.622479, -72.51927)",
NEVADA,2017,13,,N,0,,0,,,N,,N,,-,3,,12,,37,,37,,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2017,13,,-,0,,1,,,-,,-,5,,13,,31,,134,,144,,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2017,13,,-,0,,2,,,-,,-,1,,5,,12,,50,,34,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,13,,-,3,,50,,1,,13,,,-,26,,44,,167,,263,,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,13,,-,0,,0,,,-,,-,,-,17,,31,,131,,174,,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2017,13,,-,0,,1,,,-,,-,15,,11,,23,,89,,96,,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2017,13,,-,0,,0,,,-,,-,12,,23,,51,,222,,218,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2017,13,,-,0,,1,,,-,,-,,-,3,,9,,15,,26,,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,13,,N,0,,0,,,N,,N,,-,10,,27,,70,,79,,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2017,13,,-,0,,2,,3,,1,,6,,16,,32,,147,,178,,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2017,13,,-,0,,1,,,-,,-,,-,6,,14,,39,,67,,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2017,13,,-,2,,32,,4,,8,,,-,10,,35,,80,,109,,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2017,13,,-,0,,0,,,-,,-,,-,3,,9,,28,,20,,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2017,13,,-,0,,0,,,-,1,,,-,0,,9,,,-,34,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2017,13,,-,0,,0,,,-,,-,3,,9,,29,,98,,75,,"ARKANSAS
(34.748745, -92.275105)",
VIRGIN ISL.,2017,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,13,,-,0,,1,,,-,,-,,-,37,,64,,262,,370,,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2017,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2017,13,,N,0,,0,,,N,,N,7,,18,,34,,195,,198,,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2017,13,,N,0,,0,,,N,,N,14,,23,,57,,222,,230,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,13,,N,0,,0,,,N,,N,,-,1,,2,,6,,12,,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,13,,N,0,,0,,,N,,N,16,,18,,45,,177,,172,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2017,13,,-,0,,1,,,-,,-,7,,10,,25,,79,,78,,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2017,13,,N,0,,0,,,N,,N,9,,26,,66,,187,,286,,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2017,13,,-,0,,1,,,-,1,,7,,18,,37,,124,,166,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2017,13,,-,1,,7,,2,,,-,10,,28,,59,,215,,304,,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2017,13,,N,0,,0,,,N,,N,4,,2,,7,,17,,13,,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,13,,-,0,,0,,,-,,-,47,,23,,168,,141,,247,,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2017,13,,N,0,,0,,,N,,N,2,,6,,15,,88,,46,,"MISSISSIPPI
(32.738663, -89.537312)",
ALABAMA,2017,13,,-,0,,1,,1,,,-,,-,13,,25,,121,,145,,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2017,13,,N,0,,0,,,N,,N,,-,12,,31,,72,,116,,"KANSAS
(38.345528, -98.201847)",
