Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
ARKANSAS,2017,5,,-,0,,1,,,-,,-,,-,8,,75,,4,,5,,,-,2,,11,,5,,12,,"ARKANSAS
(34.748745, -92.275105)",
CONNECTICUT,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,2,,14,,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2017,5,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,21,,33,,1,,112,,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,17,,108,,133,,269,,519,,"CALIFORNIA
(37.640735, -121.002435)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,5,,-,0,,2,,,-,1,,,-,2,,11,,4,,8,,2,,3,,12,,4,,10,,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2017,5,,-,0,,1,,,-,1,,1,,10,,40,,2,,8,,3,,6,,15,,5,,37,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,3,,25,,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2017,6,1,,3,,11,,3,,7,,1,,59,,216,,33,,61,,90,,515,,609,,1393,,3095,,,
NEW ENGLAND,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,1,,14,,29,,23,,116,,,
MID. ATLANTIC,2017,6,,-,0,,1,,,-,,-,,-,2,,13,,4,,5,,9,,65,,91,,210,,387,,,
NEW YORK CITY,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,4,,35,,49,,106,,221,,,
E.N. CENTRAL,2017,6,,-,0,,2,,,-,,-,,-,2,,15,,,-,2,,3,,51,,67,,74,,321,,,
W.N. CENTRAL,2017,6,,-,0,,2,,,-,,-,,-,7,,28,,2,,3,,2,,19,,29,,35,,137,,,
S. ATLANTIC,2017,6,1,,1,,10,,2,,5,,,-,17,,45,,4,,15,,7,,113,,162,,222,,774,,,
E.S. CENTRAL,2017,6,,-,0,,4,,,-,2,,1,,21,,65,,14,,27,,3,,22,,38,,60,,109,,,
W.S. CENTRAL,2017,6,,-,0,,1,,,-,,-,,-,10,,80,,7,,6,,36,,56,,77,,266,,335,,,
MOUNTAIN,2017,6,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,1,,31,,55,,88,,191,,,
PACIFIC,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,28,,126,,156,,415,,725,,,
AMER. SAMOA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
KANSAS,2017,6,,-,0,,1,,,-,,-,,-,1,,10,,,-,1,,1,,2,,6,,9,,11,,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,5,,45,,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,13,,61,,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,3,,10,,19,,49,,31,,"NEW YORK
(42.826892, -75.544286)",
CONNECTICUT,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,2,,17,,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2017,6,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,31,,89,,"OHIO
(40.056807, -82.405897)",
INDIANA,2017,6,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,3,,6,,12,,24,,39,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,17,,108,,135,,350,,629,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,6,1,,0,,1,,1,,,-,,-,0,,2,,1,,,-,5,,46,,66,,142,,236,,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,9,,21,,43,,52,,"WASHINGTON
(47.517368, -120.467672)",
KENTUCKY,2017,6,,-,0,,2,,,-,1,,,-,2,,11,,6,,8,,2,,3,,12,,6,,13,,"KENTUCKY
(37.64591, -84.774043)",
DIST. OF COL.,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,2,,7,,2,,14,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,6,,15,,21,,33,,"OREGON
(44.567912, -120.156945)",
VERMONT,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,4,,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,2,,13,,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,6,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2017,6,,-,0,,1,,,-,,-,,-,1,,6,,2,,,-,35,,38,,53,,231,,213,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,12,,30,,27,,68,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,2,,40,,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2017,6,,-,0,,2,,,-,,-,,-,0,,6,,1,,,-,1,,8,,22,,15,,66,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,6,,-,0,,1,,,-,,-,,-,1,,8,,3,,1,,,-,8,,16,,2,,49,,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,1,,11,,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,6,,-,0,,1,,,-,,-,,-,4,,19,,,-,4,,,-,3,,41,,,-,34,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,2,,2,,1,,5,,13,,31,,51,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,6,,10,,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2017,6,,-,0,,2,,,-,,-,,-,7,,29,,,-,7,,,-,20,,28,,30,,133,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,6,,-,1,,8,,1,,5,,,-,0,,0,,,-,,-,,-,22,,41,,,-,224,,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,6,,-,0,,1,,,-,,-,,-,7,,24,,2,,9,,,-,6,,14,,24,,28,,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,7,,28,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,27,,37,,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,11,,7,,9,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,6,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,22,,35,,1,,130,,"ILLINOIS
(40.477092, -88.993221)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,6,,-,0,,0,,,-,,-,,-,1,,7,,2,,1,,,-,5,,13,,17,,26,,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,12,,,-,12,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,18,,11,,68,,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,14,,21,,28,,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,6,,-,0,,1,,,-,,-,,-,8,,75,,5,,6,,,-,2,,11,,6,,14,,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,47,,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,,-,0,,7,,1,,11,,"DELAWARE
(39.008676, -75.574561)",
MAINE,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,1,,1,,4,,2,,6,,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IDAHO,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,1,,10,,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,6,,-,0,,1,,,-,1,,1,,10,,40,,4,,9,,1,,6,,15,,13,,42,,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2017,6,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,-,13,,23,,29,,72,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2017,6,,-,0,,1,,,-,,-,,-,5,,22,,2,,2,,1,,7,,14,,18,,63,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,1,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2017,6,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,2,,15,,24,,53,,86,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,2,,6,,13,,18,,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,7,,-,3,,11,,3,,7,,5,,59,,216,,44,,75,,88,,514,,610,,1817,,3597,,,
NEW ENGLAND,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,,-,14,,29,,45,,130,,,
MID. ATLANTIC,2017,7,,-,0,,1,,,-,,-,,-,2,,13,,4,,7,,12,,65,,91,,264,,436,,,
NEW YORK CITY,2017,7,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,1,,35,,49,,122,,239,,,
E.N. CENTRAL,2017,7,,-,0,,2,,,-,,-,,-,2,,15,,,-,2,,1,,50,,67,,113,,387,,,
W.N. CENTRAL,2017,7,,-,0,,2,,,-,,-,,-,7,,28,,2,,4,,,-,19,,29,,46,,154,,,
S. ATLANTIC,2017,7,,-,1,,10,,2,,5,,2,,17,,44,,7,,18,,6,,112,,162,,313,,889,,,
E.S. CENTRAL,2017,7,,-,0,,4,,,-,2,,3,,21,,65,,20,,32,,11,,22,,38,,75,,138,,,
W.S. CENTRAL,2017,7,,-,0,,1,,,-,,-,,-,10,,80,,9,,9,,36,,56,,77,,330,,393,,,
MOUNTAIN,2017,7,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,,-,31,,55,,104,,218,,,
PACIFIC,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,22,,126,,155,,527,,852,,,
AMER. SAMOA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
ARKANSAS,2017,7,,-,0,,1,,,-,,-,,-,8,,75,,7,,9,,1,,2,,11,,10,,18,,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2017,7,,-,0,,1,,,-,,-,,-,1,,8,,3,,2,,,-,7,,16,,6,,62,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,2,,13,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,11,,53,,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2017,7,,-,0,,2,,,-,1,,2,,2,,11,,8,,8,,9,,3,,12,,15,,16,,"KENTUCKY
(37.64591, -84.774043)",
NORTH DAKOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2017,7,,-,0,,1,,,-,,-,,-,1,,10,,,-,1,,,-,2,,6,,12,,12,,"KANSAS
(38.345528, -98.201847)",
ARIZONA,2017,7,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,-,13,,23,,41,,84,,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,9,,21,,50,,65,,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,7,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,7,,1,,11,,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,23,,32,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,2,,15,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,2,,2,,,-,5,,13,,32,,55,,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2017,7,,-,0,,1,,1,,,-,1,,0,,2,,2,,,-,6,,46,,66,,216,,274,,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,9,,32,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,12,,,-,15,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,8,,10,,19,,57,,38,,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
VERMONT,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,5,,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2017,7,,-,0,,1,,,-,1,,,-,10,,40,,6,,9,,,-,6,,15,,13,,57,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,2,,8,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,2,,7,,"MAINE
(45.252223, -68.986647)",
IOWA,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,6,,13,,"IOWA
(42.46942, -93.815856)",
OHIO,2017,7,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,58,,107,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,7,,-,1,,8,,1,,5,,,-,0,,0,,,-,,-,,-,21,,41,,,-,261,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,1,,2,,6,,15,,19,,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2017,7,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,22,,36,,2,,161,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,12,,30,,38,,77,,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,52,,"MINNESOTA
(46.357661, -94.793397)",
INDIANA,2017,7,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,27,,47,,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,7,,-,0,,2,,,-,,-,,-,7,,29,,,-,8,,,-,19,,28,,37,,152,,"NORTH CAROLINA
(35.47995, -79.180571)",
PENNSYLVANIA,2017,7,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,3,,15,,24,,79,,97,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,7,,-,0,,0,,,-,,-,,-,1,,7,,2,,2,,2,,5,,13,,23,,31,,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,2,,20,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,7,,-,0,,2,,,-,,-,1,,0,,6,,2,,,-,,-,8,,15,,23,,73,,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2017,7,,-,0,,1,,,-,,-,,-,1,,6,,2,,,-,34,,38,,55,,280,,253,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,22,,72,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,12,,109,,140,,447,,732,,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2017,7,,-,0,,1,,,-,,-,1,,7,,24,,4,,13,,,-,6,,14,,24,,34,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,19,,32,,74,,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,3,,12,,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,1,,11,,"IDAHO
(43.680635, -114.364237)",
OREGON,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,6,,15,,27,,43,,"OREGON
(44.567912, -120.156945)",
ALASKA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEVADA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,27,,43,,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2017,7,,-,0,,1,,,-,,-,,-,5,,22,,2,,3,,,-,7,,14,,26,,69,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,2,,45,,"OKLAHOMA
(35.468494, -97.521264)",
NEW HAMPSHIRE,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,11,,8,,9,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,7,,-,0,,1,,,-,,-,,-,4,,19,,1,,5,,,-,2,,41,,,-,40,,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,8,1,,3,,11,,4,,8,,1,,59,,216,,53,,82,,84,,515,,610,,2172,,4193,,,
NEW ENGLAND,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,2,,14,,29,,49,,146,,,
MID. ATLANTIC,2017,8,,-,0,,1,,,-,,-,1,,2,,13,,5,,7,,13,,66,,91,,308,,512,,,
MAINE,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,3,,8,,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2017,8,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,4,,35,,49,,150,,279,,,
E.N. CENTRAL,2017,8,,-,0,,2,,,-,,-,,-,2,,15,,,-,2,,2,,50,,67,,132,,435,,,
W.N. CENTRAL,2017,8,,-,0,,2,,,-,,-,,-,7,,28,,2,,5,,3,,18,,29,,64,,170,,,
S. ATLANTIC,2017,8,,-,1,,10,,2,,6,,,-,17,,44,,8,,23,,6,,111,,162,,372,,1016,,,
E.S. CENTRAL,2017,8,,-,0,,4,,,-,2,,,-,21,,65,,22,,33,,4,,22,,38,,82,,176,,,
W.S. CENTRAL,2017,8,,-,0,,1,,,-,,-,,-,10,,80,,14,,9,,23,,57,,77,,373,,470,,,
MOUNTAIN,2017,8,1,,0,,2,,2,,,-,,-,0,,2,,1,,,-,3,,31,,55,,134,,252,,,
PACIFIC,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,28,,127,,157,,658,,1016,,,
AMER. SAMOA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
WISCONSIN,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,2,,6,,20,,23,,"WISCONSIN
(44.395526, -89.834513)",
MARYLAND,2017,8,,-,0,,2,,,-,,-,,-,1,,6,,2,,,-,1,,8,,15,,30,,86,,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,8,,-,0,,1,,,-,1,,,-,10,,40,,7,,9,,1,,6,,13,,14,,68,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,2,,7,,2,,17,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEBRASKA,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,2,,2,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2017,8,,-,0,,1,,,-,,-,,-,7,,24,,5,,14,,,-,6,,14,,24,,43,,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,8,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,3,,15,,24,,85,,111,,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH CAROLINA,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,2,,2,,,-,5,,13,,33,,63,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2017,8,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,22,,38,,3,,178,,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,8,,-,0,,1,,,-,,-,,-,1,,8,,3,,2,,,-,7,,16,,10,,75,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,8,,-,0,,2,,,-,1,,,-,2,,11,,8,,8,,3,,3,,12,,18,,28,,"KENTUCKY
(37.64591, -84.774043)",
