 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
OHIO,2017,5,8,,26,,68,,75,,95,,2,,4,,14,,11,,10,,20,,20,,41,,109,,183,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,5,,-,5,,18,,10,,26,,,-,0,,3,,,-,1,,,-,0,,5,,1,,5,,"HAWAII
(21.30992, -157.858158)",
MAINE,2017,5,,-,2,,7,,2,,7,,,-,0,,3,,,-,2,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
UNITED STATES,2017,6,242,,861,,1629,,2113,,3443,,20,,133,,258,,241,,444,,67,,378,,479,,921,,2482,,,
NEW ENGLAND,2017,6,4,,38,,80,,84,,137,,,-,5,,38,,10,,18,,1,,5,,13,,20,,22,,,
MID. ATLANTIC,2017,6,45,,81,,198,,222,,302,,7,,13,,30,,43,,51,,8,,27,,52,,72,,154,,,
NEW YORK CITY,2017,6,17,,19,,42,,78,,64,,,-,2,,9,,12,,8,,4,,8,,17,,39,,51,,,
E.N. CENTRAL,2017,6,,-,101,,191,,112,,416,,,-,15,,85,,18,,66,,1,,60,,102,,164,,503,,,
W.N. CENTRAL,2017,6,15,,47,,202,,149,,204,,1,,17,,41,,30,,49,,2,,26,,70,,65,,337,,,
S. ATLANTIC,2017,6,103,,215,,499,,644,,934,,5,,12,,29,,37,,51,,16,,50,,83,,166,,333,,,
E.S. CENTRAL,2017,6,24,,71,,205,,209,,287,,1,,5,,13,,24,,37,,11,,15,,28,,100,,104,,,
W.S. CENTRAL,2017,6,27,,146,,318,,252,,425,,1,,23,,43,,16,,45,,22,,100,,162,,137,,532,,,
MOUNTAIN,2017,6,18,,52,,98,,206,,232,,4,,16,,34,,33,,48,,3,,32,,56,,75,,237,,,
PACIFIC,2017,6,6,,116,,187,,235,,506,,1,,22,,65,,30,,79,,3,,43,,77,,122,,260,,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSISSIPPI,2017,6,5,,19,,57,,48,,54,,,-,0,,2,,1,,2,,1,,2,,5,,16,,6,,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2017,6,1,,87,,150,,175,,413,,,-,15,,36,,23,,65,,2,,37,,69,,106,,198,,"CALIFORNIA
(37.640735, -121.002435)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,6,,-,1,,10,,2,,10,,,-,0,,2,,1,,2,,1,,0,,1,,2,,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,6,4,,42,,159,,104,,132,,,-,2,,9,,12,,5,,1,,12,,29,,38,,98,,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,6,,-,3,,9,,5,,11,,,-,0,,3,,1,,,-,,-,0,,2,,2,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KENTUCKY,2017,6,9,,10,,77,,37,,35,,,-,1,,5,,3,,9,,8,,5,,14,,35,,33,,"KENTUCKY
(37.64591, -84.774043)",
MICHIGAN,2017,6,,-,18,,35,,9,,62,,,-,3,,10,,4,,13,,,-,10,,31,,8,,43,,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,6,,-,26,,68,,74,,110,,,-,4,,14,,11,,10,,,-,20,,30,,106,,203,,"OHIO
(40.056807, -82.405897)",
UTAH,2017,6,,-,6,,12,,23,,38,,,-,2,,5,,3,,1,,,-,1,,5,,,-,5,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2017,6,,-,6,,17,,16,,30,,,-,1,,5,,1,,,-,,-,3,,22,,6,,7,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,6,,-,3,,9,,2,,17,,,-,1,,4,,1,,4,,,-,0,,10,,,-,5,,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2017,6,2,,2,,6,,3,,2,,,-,0,,2,,,-,,-,,-,0,,4,,1,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,6,,-,28,,93,,18,,107,,,-,1,,4,,1,,4,,,-,9,,28,,8,,47,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,6,3,,4,,14,,22,,20,,,-,2,,9,,9,,12,,,-,3,,14,,4,,20,,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,6,,-,3,,10,,6,,12,,,-,0,,3,,,-,4,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2017,6,,-,8,,23,,22,,33,,1,,3,,16,,5,,12,,,-,1,,7,,7,,42,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2017,6,,-,31,,63,,21,,140,,,-,3,,60,,,-,20,,,-,9,,22,,5,,80,,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,6,72,,107,,213,,359,,471,,4,,3,,8,,15,,22,,11,,14,,32,,56,,101,,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2017,6,5,,13,,45,,20,,24,,,-,2,,37,,1,,,-,1,,3,,13,,7,,15,,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2017,6,1,,13,,58,,39,,68,,,-,4,,21,,8,,11,,,-,6,,31,,11,,57,,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2017,6,,-,10,,41,,55,,89,,,-,0,,2,,1,,,-,,-,4,,16,,19,,25,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2017,6,7,,22,,48,,72,,133,,1,,0,,3,,4,,3,,2,,4,,10,,28,,42,,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,6,6,,22,,44,,34,,54,,,-,2,,8,,2,,2,,1,,7,,15,,11,,29,,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2017,6,,-,15,,55,,4,,81,,,-,2,,7,,1,,14,,,-,4,,10,,1,,33,,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2017,6,,-,11,,25,,23,,76,,,-,0,,0,,,-,,-,,-,0,,4,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2017,6,3,,13,,45,,26,,25,,,-,1,,7,,2,,3,,2,,2,,13,,21,,18,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2017,6,6,,14,,52,,30,,27,,1,,2,,14,,2,,3,,1,,8,,68,,11,,84,,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2017,6,,-,3,,8,,6,,10,,1,,2,,15,,1,,6,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,6,,-,21,,55,,46,,67,,,-,2,,7,,7,,10,,,-,3,,8,,11,,17,,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2017,6,,-,8,,22,,24,,39,,,-,1,,34,,1,,4,,,-,1,,4,,4,,2,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,6,3,,18,,105,,52,,65,,,-,3,,8,,16,,23,,,-,4,,13,,21,,23,,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,6,,-,15,,30,,3,,61,,,-,4,,13,,1,,18,,1,,10,,38,,42,,134,,"WISCONSIN
(44.395526, -89.834513)",
DIST. OF COL.,2017,6,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2017,6,2,,2,,7,,4,,8,,,-,0,,3,,,-,2,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK,2017,6,20,,26,,65,,71,,75,,3,,4,,16,,12,,10,,2,,4,,12,,11,,19,,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,6,,-,1,,5,,3,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
INDIANA,2017,6,,-,10,,28,,5,,43,,,-,1,,8,,2,,5,,,-,4,,14,,3,,43,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,6,,-,2,,10,,5,,10,,,-,0,,3,,3,,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2017,6,8,,25,,66,,69,,82,,4,,4,,13,,18,,19,,2,,10,,30,,21,,51,,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2017,6,,-,2,,17,,3,,5,,,-,0,,2,,,-,,-,,-,1,,6,,7,,2,,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2017,6,11,,18,,42,,54,,61,,1,,5,,19,,7,,14,,2,,11,,47,,25,,212,,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2017,6,,-,5,,18,,14,,29,,,-,0,,3,,,-,1,,,-,0,,5,,1,,5,,"HAWAII
(21.30992, -157.858158)",
SOUTH DAKOTA,2017,6,,-,3,,107,,5,,20,,,-,1,,9,,,-,4,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2017,6,7,,17,,34,,82,,65,,2,,3,,8,,11,,8,,1,,21,,49,,40,,196,,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2017,6,7,,12,,33,,57,,51,,1,,4,,11,,8,,17,,2,,3,,16,,27,,12,,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2017,6,10,,14,,38,,57,,65,,1,,1,,5,,4,,9,,3,,3,,9,,28,,14,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2017,6,11,,17,,68,,63,,87,,,-,0,,2,,3,,4,,,-,3,,10,,18,,40,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2017,6,4,,3,,10,,17,,17,,,-,3,,13,,8,,11,,,-,0,,4,,2,,9,,"IDAHO
(43.680635, -114.364237)",
TEXAS,2017,6,18,,103,,294,,141,,284,,,-,17,,41,,11,,39,,19,,76,,130,,86,,405,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,6,,-,1,,5,,4,,7,,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,6,,-,8,,25,,24,,25,,,-,2,,7,,3,,6,,,-,4,,13,,25,,44,,"KANSAS
(38.345528, -98.201847)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2017,7,233,,861,,1631,,2512,,3947,,19,,133,,259,,288,,500,,93,,379,,477,,1139,,2870,,,
NEW ENGLAND,2017,7,,-,38,,80,,86,,168,,,-,5,,38,,10,,23,,1,,5,,13,,23,,27,,,
MID. ATLANTIC,2017,7,37,,83,,198,,271,,334,,4,,13,,30,,54,,60,,21,,27,,52,,95,,183,,,
NEW YORK CITY,2017,7,18,,19,,42,,96,,71,,2,,2,,9,,14,,9,,14,,8,,17,,52,,58,,,
E.N. CENTRAL,2017,7,11,,101,,191,,136,,500,,3,,15,,85,,25,,71,,9,,61,,102,,193,,570,,,
W.N. CENTRAL,2017,7,4,,47,,202,,158,,231,,2,,17,,41,,36,,51,,3,,26,,70,,74,,379,,,
S. ATLANTIC,2017,7,83,,215,,499,,758,,1050,,4,,12,,29,,41,,58,,17,,48,,83,,195,,377,,,
E.S. CENTRAL,2017,7,8,,71,,205,,230,,318,,,-,5,,13,,24,,39,,4,,15,,28,,110,,116,,,
W.S. CENTRAL,2017,7,58,,146,,323,,336,,485,,,-,23,,45,,18,,51,,24,,99,,162,,185,,645,,,
MOUNTAIN,2017,7,21,,53,,97,,240,,265,,3,,16,,34,,37,,57,,9,,32,,56,,88,,273,,,
PACIFIC,2017,7,11,,116,,188,,297,,596,,3,,22,,65,,43,,90,,5,,43,,77,,176,,300,,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
KANSAS,2017,7,,-,8,,25,,25,,29,,,-,2,,7,,4,,6,,,-,4,,14,,28,,54,,"KANSAS
(38.345528, -98.201847)",
TEXAS,2017,7,35,,103,,298,,191,,315,,,-,17,,42,,11,,43,,18,,75,,130,,119,,497,,"TEXAS
(31.827233, -99.423022)",
OHIO,2017,7,11,,26,,68,,97,,126,,3,,4,,14,,15,,12,,7,,20,,30,,119,,226,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,7,2,,6,,12,,30,,43,,,-,2,,5,,3,,1,,,-,1,,5,,,-,6,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2017,7,,-,3,,9,,5,,13,,,-,0,,3,,1,,1,,,-,0,,3,,4,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2017,7,,-,2,,7,,4,,9,,,-,0,,3,,,-,2,,1,,0,,1,,1,,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2017,7,,-,28,,93,,24,,123,,,-,1,,4,,1,,4,,,-,8,,28,,10,,54,,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2017,7,8,,14,,38,,72,,71,,2,,1,,5,,4,,9,,2,,3,,9,,30,,19,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2017,7,,-,5,,18,,18,,35,,,-,0,,3,,1,,2,,,-,0,,5,,2,,7,,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2017,7,2,,13,,45,,34,,32,,,-,2,,7,,3,,4,,2,,2,,13,,27,,23,,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,7,,-,3,,10,,6,,12,,,-,0,,3,,,-,4,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,7,2,,3,,10,,21,,17,,2,,3,,13,,11,,13,,,-,0,,4,,2,,10,,"IDAHO
(43.680635, -114.364237)",
DIST. OF COL.,2017,7,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2017,7,11,,26,,65,,85,,86,,1,,4,,16,,13,,12,,5,,4,,12,,17,,23,,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,7,,-,21,,55,,46,,90,,,-,2,,7,,7,,14,,,-,3,,8,,11,,20,,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,7,2,,8,,23,,26,,39,,2,,3,,16,,9,,16,,,-,1,,5,,9,,44,,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2017,7,3,,19,,105,,63,,73,,,-,3,,8,,16,,24,,1,,4,,13,,25,,25,,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2017,7,7,,13,,46,,26,,30,,1,,2,,37,,2,,,-,1,,3,,14,,8,,19,,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2017,7,,-,1,,5,,3,,5,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
OKLAHOMA,2017,7,5,,14,,52,,36,,34,,,-,2,,14,,2,,3,,,-,7,,68,,11,,95,,"OKLAHOMA
(35.468494, -97.521264)",
ALABAMA,2017,7,5,,23,,48,,82,,142,,,-,0,,3,,4,,4,,1,,4,,10,,31,,48,,"ALABAMA
(32.839182, -86.631125)",
IOWA,2017,7,,-,13,,58,,39,,70,,,-,4,,21,,8,,11,,,-,6,,31,,11,,70,,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2017,7,,-,3,,107,,5,,23,,,-,1,,9,,1,,4,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2017,7,1,,3,,8,,8,,11,,1,,2,,15,,2,,7,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2017,7,,-,2,,10,,7,,11,,,-,0,,3,,3,,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2017,7,7,,17,,34,,90,,78,,,-,3,,8,,11,,11,,6,,20,,49,,49,,227,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2017,7,59,,107,,213,,420,,533,,2,,3,,8,,17,,27,,10,,13,,32,,67,,110,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2017,7,4,,22,,44,,42,,67,,,-,2,,8,,4,,3,,2,,7,,15,,15,,34,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,7,,-,10,,28,,5,,52,,,-,1,,8,,2,,5,,,-,4,,14,,7,,51,,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,7,,-,2,,6,,3,,4,,,-,0,,2,,,-,,-,,-,0,,4,,1,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2017,7,,-,15,,30,,4,,80,,,-,4,,13,,1,,19,,2,,10,,39,,53,,148,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH CAROLINA,2017,7,4,,17,,68,,68,,95,,,-,0,,2,,3,,4,,2,,3,,10,,22,,42,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2017,7,,-,8,,22,,26,,41,,,-,1,,34,,1,,4,,,-,1,,4,,4,,3,,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2017,7,16,,10,,41,,75,,104,,,-,0,,2,,2,,1,,4,,4,,16,,28,,30,,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2017,7,,-,3,,9,,3,,18,,,-,1,,4,,1,,5,,,-,0,,10,,,-,6,,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,7,,-,18,,35,,9,,78,,,-,3,,10,,4,,15,,,-,10,,31,,8,,50,,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PENNSYLVANIA,2017,7,8,,25,,66,,84,,92,,1,,4,,13,,23,,22,,2,,10,,30,,25,,60,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,7,,-,19,,57,,48,,63,,,-,0,,2,,1,,2,,1,,2,,5,,17,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,7,8,,12,,33,,65,,62,,,-,4,,11,,8,,19,,3,,3,,16,,30,,14,,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,7,,-,1,,5,,4,,9,,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2017,7,3,,18,,42,,59,,74,,1,,5,,19,,10,,16,,2,,11,,47,,30,,231,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,7,,-,15,,55,,6,,85,,,-,2,,7,,4,,17,,,-,4,,10,,1,,42,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,7,2,,87,,151,,223,,483,,,-,15,,38,,30,,71,,4,,38,,69,,156,,230,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,7,1,,6,,17,,20,,31,,,-,1,,5,,1,,,-,,-,2,,22,,7,,7,,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2017,7,1,,5,,14,,23,,24,,1,,2,,9,,10,,12,,1,,2,,14,,5,,20,,"NEBRASKA
(41.640503, -99.367122)",
DELAWARE,2017,7,,-,2,,17,,3,,5,,,-,0,,2,,,-,,-,,-,1,,6,,7,,2,,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2017,7,,-,10,,77,,37,,40,,,-,1,,5,,3,,9,,1,,5,,14,,37,,36,,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2017,7,8,,42,,159,,123,,143,,,-,2,,9,,12,,6,,1,,12,,29,,44,,114,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,7,,-,1,,10,,2,,11,,,-,0,,2,,1,,2,,,-,0,,1,,2,,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2017,7,,-,10,,25,,23,,81,,,-,0,,0,,,-,,-,,-,0,,4,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2017,7,,-,32,,63,,21,,164,,,-,3,,60,,3,,20,,,-,9,,22,,6,,95,,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2017,8,216,,862,,1633,,3037,,4533,,13,,133,,262,,344,,566,,98,,374,,477,,1372,,3280,,,
NEW ENGLAND,2017,8,,-,39,,80,,137,,189,,,-,5,,38,,13,,26,,,-,5,,13,,30,,30,,,
MID. ATLANTIC,2017,8,27,,83,,198,,320,,383,,4,,13,,30,,59,,63,,7,,26,,52,,118,,222,,,
NEW YORK CITY,2017,8,11,,19,,42,,107,,80,,1,,2,,9,,15,,9,,6,,8,,17,,57,,69,,,
E.N. CENTRAL,2017,8,13,,103,,191,,222,,563,,,-,15,,88,,32,,78,,26,,60,,102,,251,,631,,,
W.N. CENTRAL,2017,8,16,,47,,202,,212,,266,,2,,17,,41,,44,,60,,5,,25,,70,,95,,423,,,
S. ATLANTIC,2017,8,76,,215,,499,,883,,1183,,2,,12,,29,,54,,67,,17,,48,,83,,231,,421,,,
E.S. CENTRAL,2017,8,13,,71,,205,,254,,427,,,-,5,,13,,24,,40,,10,,15,,28,,129,,130,,,
W.S. CENTRAL,2017,8,24,,146,,324,,369,,545,,,-,23,,46,,18,,60,,21,,95,,162,,215,,773,,,
MOUNTAIN,2017,8,22,,53,,97,,274,,299,,3,,16,,32,,41,,65,,10,,31,,56,,105,,312,,,
PACIFIC,2017,8,25,,118,,188,,366,,678,,2,,23,,66,,59,,107,,2,,43,,77,,198,,338,,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WYOMING,2017,8,,-,1,,5,,3,,6,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
OREGON,2017,8,2,,8,,23,,33,,40,,1,,3,,16,,14,,17,,,-,1,,5,,11,,48,,"OREGON
(44.567912, -120.156945)",
UTAH,2017,8,2,,6,,11,,32,,49,,,-,2,,5,,3,,1,,,-,1,,5,,,-,9,,"UTAH
(39.359772, -111.584173)",
NEW YORK,2017,8,11,,26,,65,,97,,100,,2,,4,,16,,15,,12,,,-,4,,12,,18,,26,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,8,13,,26,,68,,111,,141,,,-,4,,14,,16,,13,,25,,20,,30,,144,,249,,"OHIO
(40.056807, -82.405897)",
ARKANSAS,2017,8,3,,13,,45,,39,,35,,,-,2,,7,,3,,4,,2,,2,,13,,30,,26,,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,8,,-,3,,10,,12,,13,,,-,0,,3,,,-,4,,1,,0,,2,,1,,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,8,1,,3,,10,,22,,18,,,-,3,,12,,11,,16,,,-,0,,4,,2,,10,,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,8,,-,32,,63,,28,,179,,,-,3,,63,,3,,21,,,-,9,,22,,10,,102,,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2017,8,,-,2,,7,,4,,10,,,-,0,,3,,,-,2,,,-,0,,1,,1,,,-,"MAINE
(45.252223, -68.986647)",
MONTANA,2017,8,1,,3,,8,,9,,13,,,-,2,,15,,2,,7,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2017,8,7,,19,,57,,66,,69,,,-,0,,2,,1,,2,,2,,2,,5,,22,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,8,,-,1,,10,,2,,12,,,-,0,,2,,1,,2,,,-,0,,1,,3,,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,8,19,,13,,47,,45,,48,,1,,2,,37,,2,,,-,,-,3,,14,,8,,24,,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2017,8,10,,14,,38,,85,,81,,1,,1,,5,,9,,10,,1,,3,,9,,31,,22,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2017,8,3,,88,,151,,258,,541,,,-,15,,38,,37,,85,,2,,38,,69,,177,,257,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2017,8,2,,19,,105,,65,,85,,,-,3,,8,,16,,25,,5,,4,,13,,33,,29,,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2017,8,,-,3,,9,,5,,19,,,-,1,,4,,1,,5,,,-,0,,10,,1,,7,,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2017,8,,-,15,,55,,20,,97,,,-,2,,7,,4,,18,,,-,4,,10,,14,,44,,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2017,8,,-,2,,17,,3,,5,,,-,0,,2,,,-,,-,,-,1,,6,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2017,8,,-,3,,9,,6,,14,,,-,0,,3,,1,,2,,,-,0,,3,,4,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
