Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
PUERTO RICO,2017,5,,-,0,,1,,,-,,-,,-,2,,27,,,-,24,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2017,5,3,,7,,24,,21,,26,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,5,,-,5,,27,,11,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WEST VIRGINIA,2017,5,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2017,5,,-,1,,3,,1,,3,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2017,5,,-,3,,24,,5,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2017,6,44,,157,,733,,457,,727,,,-,11,,32,,7,,185,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,6,,-,7,,23,,19,,23,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,6,3,,14,,62,,53,,72,,,-,3,,10,,,-,36,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,6,,-,4,,12,,20,,14,,,-,0,,5,,,-,16,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,6,2,,36,,293,,84,,163,,,-,1,,7,,2,,13,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,6,6,,26,,107,,43,,85,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,6,10,,25,,79,,83,,159,,,-,2,,7,,,-,30,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,6,2,,10,,43,,31,,37,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,6,11,,17,,39,,49,,59,,,-,1,,4,,,-,3,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,6,5,,15,,122,,56,,61,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
PACIFIC,2017,6,5,,14,,47,,39,,68,,,-,3,,14,,1,,88,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,6,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
UTAH,2017,6,,-,3,,24,,5,,16,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,6,,-,1,,18,,,-,12,,,-,0,,6,,,-,11,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,6,,-,5,,26,,10,,24,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSOURI,2017,6,1,,6,,22,,8,,20,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GEORGIA,2017,6,3,,6,,26,,22,,38,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2017,6,4,,0,,34,,4,,,-,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2017,6,,-,6,,19,,6,,26,,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2017,6,1,,1,,7,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2017,6,2,,12,,59,,34,,44,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2017,6,4,,3,,16,,13,,16,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2017,6,,-,2,,7,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2017,6,1,,5,,27,,14,,13,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,6,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2017,6,,-,0,,1,,,-,,-,,-,2,,27,,1,,43,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2017,6,,-,5,,50,,11,,23,,,-,0,,3,,,-,7,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2017,6,,-,1,,5,,3,,4,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NORTH DAKOTA,2017,6,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,6,,-,0,,1,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2017,6,6,,11,,31,,35,,62,,,-,0,,2,,,-,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2017,6,,-,3,,14,,7,,13,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,6,,-,2,,10,,5,,11,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,6,2,,4,,14,,22,,13,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,6,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2017,6,1,,9,,65,,13,,25,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ARIZONA,2017,6,2,,3,,82,,15,,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2017,6,,-,1,,4,,4,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2017,6,,-,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
CALIFORNIA,2017,6,1,,7,,15,,24,,41,,,-,3,,14,,1,,33,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2017,6,,-,1,,5,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2017,6,,-,1,,8,,5,,13,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,6,1,,2,,10,,4,,11,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2017,6,,-,0,,2,,2,,1,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,6,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2017,6,,-,3,,7,,6,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2017,6,,-,2,,7,,4,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,6,2,,7,,25,,23,,28,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2017,6,,-,1,,5,,9,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2017,6,,-,0,,3,,,-,,-,,-,0,,4,,,-,47,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,6,,-,3,,9,,7,,24,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,6,,-,3,,17,,9,,17,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,6,11,,12,,33,,31,,36,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2017,6,1,,5,,25,,10,,18,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2017,6,,-,4,,12,,8,,13,,,-,0,,3,,,-,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2017,6,,-,9,,207,,26,,46,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,1,,6,,1,,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2017,6,,-,3,,9,,5,,9,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,6,,-,1,,4,,4,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,6,,-,3,,9,,10,,13,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2017,6,1,,1,,3,,3,,3,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2017,6,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,6,,-,0,,2,,,-,3,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
UNITED STATES,2017,7,41,,158,,736,,543,,850,,,-,11,,32,,9,,205,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,7,,-,7,,23,,20,,26,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,7,7,,14,,64,,62,,85,,,-,3,,10,,,-,39,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,7,4,,4,,12,,24,,15,,,-,0,,5,,,-,18,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,5,,36,,294,,98,,193,,,-,1,,7,,3,,14,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,7,3,,26,,107,,51,,97,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,7,10,,25,,79,,98,,181,,,-,2,,7,,,-,33,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,7,1,,10,,43,,34,,46,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,7,4,,17,,39,,60,,74,,,-,1,,4,,,-,4,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,7,5,,15,,122,,62,,68,,,-,1,,4,,,-,5,,,-,0,,1,,,-,,-,,
PACIFIC,2017,7,6,,14,,52,,58,,80,,,-,3,,14,,2,,96,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,7,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
KANSAS,2017,7,,-,2,,7,,3,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
COLORADO,2017,7,,-,4,,14,,22,,13,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,7,1,,1,,10,,5,,12,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2017,7,2,,12,,61,,41,,56,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2017,7,,-,1,,18,,,-,12,,,-,0,,6,,,-,12,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,7,1,,12,,33,,36,,44,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2017,7,,-,4,,12,,8,,18,,,-,0,,3,,,-,7,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,7,3,,5,,25,,13,,23,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2017,7,,-,0,,1,,,-,,-,,-,2,,27,,2,,70,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2017,7,,-,1,,7,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2017,7,,-,1,,4,,4,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALABAMA,2017,7,1,,5,,27,,15,,16,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2017,7,,-,1,,7,,7,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2017,7,,-,0,,3,,,-,,-,,-,0,,2,,,-,47,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VERMONT,2017,7,,-,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,7,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2017,7,,-,0,,2,,,-,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2017,7,,-,3,,14,,7,,14,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,7,,-,1,,8,,6,,14,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2017,7,,-,0,,2,,1,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALASKA,2017,7,1,,0,,1,,3,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WYOMING,2017,7,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2017,7,,-,3,,17,,9,,20,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2017,7,,-,0,,5,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2017,7,3,,9,,207,,30,,52,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
ARKANSAS,2017,7,1,,1,,4,,6,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,7,,-,1,,5,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2017,7,1,,1,,5,,12,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CALIFORNIA,2017,7,2,,8,,17,,37,,49,,,-,2,,14,,2,,41,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,7,,-,0,,34,,4,,,-,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PENNSYLVANIA,2017,7,,-,7,,25,,25,,35,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
TENNESSEE,2017,7,,-,3,,9,,11,,15,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2017,7,,-,1,,3,,3,,4,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2017,7,1,,4,,16,,15,,20,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2017,7,6,,11,,31,,41,,68,,,-,0,,2,,,-,15,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,7,,-,6,,19,,6,,30,,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2017,7,,-,0,,2,,2,,1,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ILLINOIS,2017,7,,-,5,,50,,11,,28,,,-,0,,3,,,-,8,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
IDAHO,2017,7,4,,2,,10,,9,,13,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,7,2,,6,,22,,14,,21,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
UTAH,2017,7,1,,2,,24,,6,,19,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2017,7,,-,3,,9,,10,,27,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2017,7,3,,5,,26,,14,,28,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
CONNECTICUT,2017,7,,-,1,,5,,4,,5,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,7,,-,3,,82,,15,,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,1,,5,,1,,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2017,7,,-,9,,65,,13,,29,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,7,,-,2,,7,,5,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2017,7,3,,5,,26,,28,,42,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2017,7,1,,3,,9,,6,,11,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,7,,-,3,,7,,6,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2017,8,37,,158,,734,,635,,1006,,,-,11,,33,,11,,231,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,8,,-,7,,23,,26,,31,,,-,0,,1,,,-,9,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,8,3,,14,,64,,65,,103,,,-,3,,10,,,-,51,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,8,1,,4,,12,,25,,18,,,-,1,,7,,,-,28,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,8,6,,36,,294,,130,,226,,,-,1,,7,,3,,16,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,8,4,,26,,107,,66,,112,,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,8,8,,25,,79,,112,,203,,,-,2,,7,,,-,36,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,8,5,,10,,43,,38,,57,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,8,2,,17,,39,,63,,94,,,-,1,,4,,,-,4,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,8,7,,15,,122,,72,,80,,,-,0,,4,,,-,5,,,-,0,,1,,,-,,-,,
PACIFIC,2017,8,2,,15,,53,,63,,100,,,-,3,,14,,4,,102,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
INDIANA,2017,8,,-,2,,9,,11,,29,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
FLORIDA,2017,8,3,,11,,31,,44,,81,,,-,0,,2,,,-,16,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,1,,3,,1,,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH DAKOTA,2017,8,,-,3,,7,,6,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,8,3,,4,,14,,25,,14,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2017,8,,-,0,,2,,2,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CONNECTICUT,2017,8,,-,1,,5,,4,,6,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
CALIFORNIA,2017,8,1,,8,,17,,40,,58,,,-,3,,14,,3,,46,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
DIST. OF COL.,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OHIO,2017,8,4,,9,,207,,34,,61,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALASKA,2017,8,,-,0,,1,,3,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARIZONA,2017,8,3,,3,,82,,18,,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ILLINOIS,2017,8,,-,5,,50,,13,,30,,,-,0,,3,,,-,10,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2017,8,,-,1,,7,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2017,8,,-,1,,8,,8,,14,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,8,1,,12,,33,,38,,54,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2017,8,1,,1,,3,,4,,4,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
