 Reporting Area,MMWR Year,MMWR Week,"Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2017","Legionellosis, Cum 2017, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2017","Malaria, Cum 2017, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag",Location 1,Location 2
TEXAS,2017,7,2,,4,,16,,16,,12,,,-,2,,17,,8,,11,,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2017,7,,-,3,,9,,3,,11,,1,,1,,4,,11,,8,,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2017,7,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,7,,-,4,,17,,7,,25,,,-,1,,5,,,-,6,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,7,,-,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2017,7,,-,0,,3,,,-,3,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2017,7,1,,7,,19,,30,,20,,,-,1,,6,,7,,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2017,7,,-,0,,3,,2,,,-,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,7,,-,0,,3,,,-,7,,,-,0,,3,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,7,5,,8,,32,,51,,44,,1,,1,,13,,6,,5,,"OHIO
(40.056807, -82.405897)",
MONTANA,2017,7,,-,0,,1,,3,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,7,3,,1,,4,,12,,9,,,-,1,,4,,4,,1,,"ARIZONA
(34.869712, -111.760902)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2017,7,,-,1,,2,,4,,2,,,-,0,,3,,1,,1,,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,7,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,7,,-,9,,27,,24,,54,,,-,2,,7,,5,,9,,"CALIFORNIA
(37.640735, -121.002435)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,7,,-,3,,24,,6,,13,,,-,0,,4,,3,,4,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,7,,-,1,,3,,3,,4,,,-,0,,3,,2,,2,,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,7,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,7,,-,1,,11,,,-,4,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2017,7,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2017,7,1,,2,,6,,13,,15,,1,,1,,5,,4,,10,,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2017,7,,-,0,,3,,,-,1,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
INDIANA,2017,7,,-,2,,12,,6,,7,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VERMONT,2017,7,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,7,1,,1,,9,,2,,1,,,-,1,,4,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2017,7,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,7,,-,2,,11,,4,,8,,,-,1,,6,,3,,9,,"MASSACHUSETTS
(42.268546, -72.085064)",
MAINE,2017,7,,-,0,,2,,,-,4,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,7,,-,1,,4,,3,,3,,,-,0,,3,,1,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2017,7,,-,1,,6,,5,,2,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,7,2,,2,,7,,14,,12,,,-,0,,2,,1,,2,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,7,3,,8,,26,,30,,28,,,-,1,,8,,7,,5,,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2017,7,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DIST. OF COL.,2017,7,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,7,,-,0,,7,,2,,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,7,,-,0,,1,,,-,3,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2017,8,24,,110,,208,,460,,514,,8,,34,,85,,162,,170,,,
NEW ENGLAND,2017,8,,-,4,,21,,19,,15,,,-,2,,7,,10,,16,,,
MID. ATLANTIC,2017,8,10,,20,,64,,113,,115,,5,,8,,24,,48,,36,,,
NEW YORK CITY,2017,8,2,,4,,31,,38,,47,,5,,4,,17,,26,,16,,,
E.N. CENTRAL,2017,8,2,,21,,69,,80,,107,,,-,3,,25,,10,,19,,,
W.N. CENTRAL,2017,8,1,,5,,25,,19,,23,,,-,1,,5,,6,,5,,,
S. ATLANTIC,2017,8,5,,19,,36,,98,,112,,3,,9,,26,,61,,54,,,
E.S. CENTRAL,2017,8,,-,5,,13,,37,,25,,,-,1,,3,,3,,6,,,
W.S. CENTRAL,2017,8,2,,6,,27,,29,,20,,,-,2,,17,,8,,14,,,
MOUNTAIN,2017,8,4,,3,,10,,30,,25,,,-,2,,5,,9,,4,,,
PACIFIC,2017,8,,-,10,,34,,35,,72,,,-,3,,9,,7,,16,,,
AMER. SAMOA,2017,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,8,,-,9,,29,,29,,66,,,-,2,,7,,5,,10,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2017,8,,-,2,,7,,14,,12,,,-,0,,2,,2,,2,,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,8,,-,2,,11,,9,,8,,,-,2,,6,,9,,10,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2017,8,2,,4,,16,,19,,13,,,-,2,,17,,8,,12,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,8,,-,0,,3,,,-,7,,,-,0,,3,,1,,2,,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2017,8,,-,0,,2,,,-,4,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DIST. OF COL.,2017,8,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARIZONA,2017,8,3,,1,,6,,18,,11,,,-,1,,4,,4,,1,,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2017,8,,-,1,,9,,2,,2,,,-,1,,4,,,-,3,,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2017,8,1,,2,,13,,10,,15,,,-,0,,3,,2,,1,,"MISSOURI
(38.636168, -92.566292)",
GEORGIA,2017,8,,-,2,,6,,14,,18,,,-,1,,5,,4,,10,,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2017,8,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,8,,-,0,,1,,,-,4,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,8,,-,1,,11,,,-,4,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2017,8,,-,0,,2,,4,,4,,,-,0,,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,8,,-,0,,20,,1,,1,,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2017,8,,-,0,,3,,1,,2,,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2017,8,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2017,8,,-,0,,2,,1,,5,,,-,0,,3,,1,,4,,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2017,8,4,,6,,13,,54,,38,,1,,1,,4,,7,,6,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2017,8,,-,4,,26,,13,,18,,,-,0,,4,,3,,4,,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,8,2,,8,,32,,53,,46,,,-,1,,13,,6,,6,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2017,8,7,,8,,26,,37,,33,,,-,1,,8,,7,,5,,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2017,8,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2017,8,,-,0,,1,,4,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
OREGON,2017,8,,-,1,,3,,3,,4,,,-,0,,3,,2,,2,,"OREGON
(44.567912, -120.156945)",
INDIANA,2017,8,,-,2,,12,,7,,8,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,8,,-,4,,17,,7,,28,,,-,1,,5,,,-,7,,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2017,8,,-,1,,2,,5,,3,,,-,0,,3,,2,,1,,"IOWA
(42.46942, -93.815856)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2017,8,,-,4,,11,,7,,19,,,-,1,,4,,1,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,8,,-,1,,6,,6,,2,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,8,1,,0,,4,,1,,3,,,-,0,,1,,,-,1,,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,8,,-,0,,4,,5,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2017,8,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2017,8,,-,1,,4,,7,,5,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2017,8,,-,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,8,,-,0,,7,,2,,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2017,8,,-,0,,3,,,-,1,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2017,8,1,,7,,19,,32,,23,,,-,1,,6,,8,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2017,8,,-,0,,3,,,-,4,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,8,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALASKA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,8,1,,3,,7,,16,,15,,2,,3,,12,,34,,14,,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2017,8,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2017,8,,-,2,,7,,6,,12,,,-,1,,7,,7,,7,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,8,,-,2,,6,,15,,6,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2017,8,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,8,,-,2,,9,,3,,12,,,-,1,,4,,11,,8,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2017,8,,-,1,,4,,3,,4,,,-,0,,3,,1,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2017,8,,-,0,,6,,5,,2,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2017,8,,-,0,,3,,2,,,-,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2017,9,21,,110,,210,,508,,568,,7,,34,,85,,179,,189,,,
NEW ENGLAND,2017,9,,-,4,,21,,22,,16,,,-,2,,7,,11,,18,,,
MID. ATLANTIC,2017,9,7,,20,,64,,123,,128,,2,,8,,24,,51,,40,,,
NEW YORK CITY,2017,9,3,,4,,31,,41,,48,,1,,4,,17,,27,,18,,,
E.N. CENTRAL,2017,9,,-,21,,69,,88,,117,,,-,3,,25,,14,,21,,,
W.N. CENTRAL,2017,9,3,,5,,26,,23,,25,,,-,1,,5,,6,,6,,,
S. ATLANTIC,2017,9,9,,19,,36,,112,,123,,4,,9,,26,,66,,57,,,
E.S. CENTRAL,2017,9,,-,5,,13,,40,,29,,,-,1,,3,,4,,8,,,
W.S. CENTRAL,2017,9,1,,6,,27,,30,,20,,,-,2,,17,,9,,15,,,
MOUNTAIN,2017,9,1,,3,,10,,32,,27,,1,,2,,5,,10,,5,,,
PACIFIC,2017,9,,-,11,,35,,38,,83,,,-,3,,9,,8,,19,,,
AMER. SAMOA,2017,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
ARKANSAS,2017,9,,-,0,,6,,5,,2,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2017,9,,-,1,,2,,5,,3,,,-,0,,3,,2,,2,,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,9,,-,4,,26,,17,,21,,,-,0,,4,,3,,5,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2017,9,,-,5,,17,,9,,28,,,-,1,,5,,4,,7,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,9,1,,3,,7,,18,,17,,4,,3,,12,,38,,16,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,9,,-,1,,4,,7,,6,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,9,,-,0,,2,,,-,4,,,-,0,,1,,,-,3,,"MAINE
(45.252223, -68.986647)",
DELAWARE,2017,9,,-,0,,2,,1,,5,,,-,0,,3,,1,,4,,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2017,9,1,,8,,26,,38,,35,,,-,1,,8,,7,,7,,"NEW YORK
(42.826892, -75.544286)",
CONNECTICUT,2017,9,,-,1,,6,,8,,3,,,-,0,,1,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2017,9,,-,1,,4,,4,,4,,,-,0,,3,,1,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2017,9,,-,0,,2,,4,,4,,,-,0,,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2017,9,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,9,,-,0,,7,,2,,,-,,-,0,,3,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2017,9,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
COLORADO,2017,9,1,,0,,4,,6,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2017,9,,-,2,,6,,18,,7,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2017,9,,-,0,,3,,,-,8,,,-,0,,3,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2017,9,,-,0,,1,,4,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2017,9,,-,1,,12,,,-,4,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2017,9,,-,2,,7,,14,,14,,,-,0,,2,,2,,4,,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2017,9,4,,6,,13,,58,,43,,,-,1,,4,,7,,6,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2017,9,,-,2,,6,,14,,19,,,-,1,,5,,4,,11,,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,9,,-,0,,4,,1,,2,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,9,,-,1,,9,,2,,4,,,-,0,,4,,,-,3,,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,9,1,,4,,17,,20,,13,,,-,2,,17,,9,,12,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2017,9,,-,0,,1,,,-,5,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
OHIO,2017,9,,-,8,,32,,53,,50,,,-,1,,13,,6,,6,,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,9,,-,0,,3,,2,,,-,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,9,4,,2,,9,,9,,12,,,-,1,,4,,12,,8,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2017,9,,-,9,,30,,32,,74,,,-,2,,7,,5,,12,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2017,9,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2017,9,,-,0,,3,,1,,2,,,-,0,,1,,1,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,9,,-,1,,6,,19,,12,,1,,1,,4,,5,,1,,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2017,9,,-,0,,20,,1,,1,,,-,0,,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,9,,-,4,,11,,8,,22,,,-,0,,4,,1,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
HAWAII,2017,9,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,9,,-,2,,12,,9,,10,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,9,,-,0,,3,,,-,4,,,-,0,,3,,1,,1,,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2017,9,,-,0,,3,,,-,1,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2017,9,3,,7,,19,,38,,28,,1,,1,,6,,10,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2017,9,,-,0,,4,,1,,3,,,-,0,,1,,,-,1,,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2017,9,2,,2,,13,,12,,16,,,-,0,,3,,2,,1,,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2017,9,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,9,,-,1,,3,,3,,4,,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2017,9,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,9,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2017,9,1,,0,,3,,4,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2017,9,,-,2,,7,,6,,17,,,-,1,,7,,7,,7,,"NEW JERSEY
(40.104655, -74.386686)",
MASSACHUSETTS,2017,9,,-,2,,11,,10,,8,,,-,1,,6,,9,,11,,"MASSACHUSETTS
(42.268546, -72.085064)",
UNITED STATES,2017,10,18,,111,,212,,566,,629,,8,,34,,86,,198,,210,,,
NEW ENGLAND,2017,10,,-,4,,21,,22,,19,,,-,2,,7,,11,,18,,,
MID. ATLANTIC,2017,10,,-,20,,64,,123,,145,,1,,8,,24,,53,,43,,,
NEW YORK CITY,2017,10,,-,4,,31,,41,,53,,,-,4,,17,,27,,20,,,
E.N. CENTRAL,2017,10,5,,21,,69,,100,,128,,1,,3,,25,,19,,22,,,
W.N. CENTRAL,2017,10,,-,5,,26,,24,,27,,,-,1,,5,,6,,7,,,
S. ATLANTIC,2017,10,5,,20,,36,,130,,135,,3,,9,,26,,75,,66,,,
E.S. CENTRAL,2017,10,,-,5,,13,,43,,32,,,-,1,,3,,4,,9,,,
W.S. CENTRAL,2017,10,2,,6,,27,,39,,22,,1,,2,,19,,10,,18,,,
MOUNTAIN,2017,10,4,,3,,10,,42,,28,,,-,2,,5,,10,,6,,,
PACIFIC,2017,10,2,,11,,35,,43,,93,,2,,3,,9,,10,,21,,,
KENTUCKY,2017,10,,-,2,,6,,18,,7,,,-,0,,2,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
AMER. SAMOA,2017,10,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
VERMONT,2017,10,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2017,10,,-,0,,3,,1,,3,,,-,0,,1,,1,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2017,10,,-,1,,6,,8,,3,,,-,0,,1,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2017,10,,-,0,,20,,1,,1,,,-,0,,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,10,,-,0,,4,,1,,3,,,-,0,,1,,,-,1,,"NEVADA
(39.491833, -117.070159)",
IOWA,2017,10,,-,1,,2,,5,,3,,,-,0,,3,,2,,3,,"IOWA
(42.46942, -93.815856)",
WISCONSIN,2017,10,,-,0,,3,,,-,8,,,-,0,,3,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,10,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2017,10,,-,2,,13,,12,,17,,,-,0,,3,,2,,1,,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,10,,-,10,,30,,34,,84,,,-,2,,7,,5,,14,,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2017,10,,-,2,,7,,6,,21,,,-,1,,7,,8,,7,,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2017,10,,-,0,,3,,4,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2017,10,,-,0,,3,,2,,,-,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2017,10,,-,8,,26,,38,,39,,1,,1,,8,,8,,7,,"NEW YORK
(42.826892, -75.544286)",
ALASKA,2017,10,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,10,,-,0,,4,,2,,3,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2017,10,,-,2,,12,,9,,11,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2017,10,,-,6,,17,,15,,31,,,-,1,,5,,5,,8,,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2017,10,,-,7,,19,,38,,32,,,-,1,,6,,10,,9,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2017,10,3,,2,,6,,26,,13,,,-,1,,4,,5,,1,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,10,,-,0,,2,,4,,4,,,-,0,,1,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2017,10,,-,1,,4,,9,,7,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2017,10,2,,0,,9,,4,,4,,2,,0,,4,,2,,3,,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2017,10,,-,0,,7,,2,,,-,,-,0,,3,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,10,,-,0,,2,,2,,5,,,-,0,,3,,1,,5,,"DELAWARE
(39.008676, -75.574561)",
SOUTH DAKOTA,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2017,10,,-,2,,6,,19,,20,,,-,1,,5,,7,,12,,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2017,10,,-,1,,4,,6,,4,,,-,0,,3,,1,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2017,10,,-,0,,4,,6,,,-,,-,0,,2,,1,,3,,"COLORADO
(38.841772, -106.132562)",
